,term,cosine_sim_with_core, closest_terms_from_core
0,ceremonial,0.26907066,"[('ceremonial', 0.9999998807907104), ('ritual', 0.5492954254150391), ('rationalized', 0.330548495054245)]"
1,coercion,0.2887873,"[('coercion', 0.9999998807907104), ('coercive', 0.7483768463134766), ('legitimate', 0.42388206720352173)]"
2,coercive,0.33558583,"[('coercive', 1.0), ('coercion', 0.7483768463134766), ('legitimate', 0.46505916118621826)]"
3,conform,0.32967436,"[('conform', 0.9999998211860657), ('norms', 0.554225742816925), ('conformity', 0.5209583640098572)]"
4,conformity,0.34670448,"[('conformity', 1.0000001192092896), ('norms', 0.5562041997909546), ('conform', 0.5209583640098572)]"
5,cultural,0.27481747,"[('cultural', 1.0000001192092896), ('institutional', 0.5331804752349854), ('norms', 0.40401726961135864)]"
6,decoupled,0.28920895,"[('decoupled', 1.0), ('rationalized', 0.3846312463283539), ('loosely_coupled', 0.37653908133506775)]"
7,diffuse,0.33410913,"[('diffuse', 0.9999998211860657), ('diffusion', 0.5188144445419312), ('taken_granted', 0.41459953784942627)]"
8,diffusion,0.32449895,"[('diffusion', 0.9999997615814209), ('institutionalization', 0.5752015113830566), ('innovation', 0.5328093767166138)]"
9,imitate,0.28410038,"[('imitate', 0.9999999403953552), ('imitation', 0.6666123867034912), ('mimetic', 0.5061920881271362)]"
10,imitation,0.3023891,"[('imitation', 1.0000001192092896), ('imitate', 0.6666123867034912), ('diffusion', 0.5224403142929077)]"
11,innovation,0.2572676,"[('innovation', 1.0000001192092896), ('diffusion', 0.5328093767166138), ('imitation', 0.48270997405052185)]"
12,institutional,0.3718353,"[('institutional', 1.0000001192092896), ('organizational_field', 0.5925328731536865), ('institutionalization', 0.5887587070465088)]"
13,institutionalize,0.33333862,"[('institutionalize', 1.0), ('institutionalization', 0.4870836138725281), ('legitimate', 0.47918564081192017)]"
14,institutionalization,0.3926977,"[('institutionalization', 0.9999998807907104), ('institutional', 0.5887587070465088), ('diffusion', 0.5752015113830566)]"
15,isomorphic,0.34590104,"[('isomorphic', 1.0), ('mimetic', 0.45952415466308594), ('organizational_field', 0.4324805736541748)]"
16,legitimacy,0.3956016,"[('legitimacy', 1.0), ('legitimate', 0.6487448811531067), ('institutional', 0.5691306591033936)]"
17,legitimate,0.3859668,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.6487448811531067), ('taken_granted', 0.5205843448638916)]"
18,loosely_coupled,0.29923913,"[('loosely_coupled', 1.0000001192092896), ('isomorphic', 0.4110681414604187), ('decoupled', 0.37653908133506775)]"
19,mimetic,0.34401554,"[('mimetic', 1.0000001192092896), ('imitate', 0.5061920881271362), ('imitation', 0.47920334339141846)]"
20,norm,0.3009158,"[('norm', 1.0), ('norms', 0.7124671936035156), ('normative', 0.5657549500465393)]"
21,normative,0.4027312,"[('normative', 1.0000001192092896), ('norms', 0.6918001174926758), ('norm', 0.5657549500465393)]"
22,norms,0.38911283,"[('norms', 0.9999999403953552), ('norm', 0.7124671936035156), ('normative', 0.6918001174926758)]"
23,organizational_field,0.3411581,"[('organizational_field', 0.9999997615814209), ('institutional', 0.5925328731536865), ('legitimacy', 0.5236252546310425)]"
24,profession,0.26062626,"[('profession', 1.0000001192092896), ('professional', 0.654997706413269), ('organizational_field', 0.3940306007862091)]"
25,professional,0.29019958,"[('professional', 1.0000001192092896), ('profession', 0.654997706413269), ('institutional', 0.3963959217071533)]"
26,rationalize,0.26148024,"[('rationalize', 0.9999999403953552), ('rationalized', 0.5167598128318787), ('legitimate', 0.4324882924556732)]"
27,rationalized,0.3188612,"[('rationalized', 1.0), ('rationalize', 0.5167598128318787), ('legitimate', 0.44337135553359985)]"
28,ritual,0.24999106,"[('ritual', 0.9999998807907104), ('ceremonial', 0.5492954254150391), ('taken_granted', 0.34368860721588135)]"
29,socially_constructed,0.31005558,"[('socially_constructed', 1.0000001192092896), ('taken_granted', 0.5885109901428223), ('legitimate', 0.4874454736709595)]"
30,taken_granted,0.3635933,"[('taken_granted', 1.0000001192092896), ('socially_constructed', 0.5885109901428223), ('legitimate', 0.5205842852592468)]"
0,institutionalized,0.36715633,"[('institutionalization', 0.6285994052886963), ('taken_granted', 0.5570008754730225), ('legitimate', 0.5462055206298828)]"
1,rowan,0.3588454,"[('institutional', 0.5302399396896362), ('legitimacy', 0.5297126173973083), ('isomorphic', 0.4844851493835449)]"
2,legitimated,0.35588634,"[('legitimate', 0.6191673278808594), ('taken_granted', 0.553859531879425), ('rationalized', 0.5004487633705139)]"
3,practices,0.350744,"[('institutional', 0.5156196355819702), ('norms', 0.5082595944404602), ('cultural', 0.4501933157444)]"
4,institutional_pressures,0.34398544,"[('institutional', 0.569513201713562), ('mimetic', 0.5191317796707153), ('organizational_field', 0.49290579557418823)]"
5,legitimating,0.34261894,"[('legitimacy', 0.6191365122795105), ('legitimate', 0.5945049524307251), ('institutionalization', 0.5128925442695618)]"
6,legitimized,0.34031785,"[('legitimate', 0.620229959487915), ('taken_granted', 0.5493914484977722), ('institutionalize', 0.49401968717575073)]"
7,institutional_environment,0.33619094,"[('institutional', 0.7060908079147339), ('legitimacy', 0.49969178438186646), ('institutionalization', 0.48779600858688354)]"
8,normative_pressures,0.3335645,"[('norms', 0.4968312084674835), ('coercive', 0.4829435646533966), ('isomorphic', 0.47545769810676575)]"
9,actors,0.32731542,"[('organizational_field', 0.5067391395568848), ('institutional', 0.47502097487449646), ('legitimacy', 0.4538794159889221)]"
10,organizational_forms,0.3268569,"[('institutional', 0.5409642457962036), ('institutionalization', 0.5226876735687256), ('organizational_field', 0.5042860507965088)]"
11,symbolic,0.3263611,"[('ritual', 0.534044623374939), ('legitimate', 0.4975988566875458), ('socially_constructed', 0.47326111793518066)]"
12,legit,0.32575387,"[('legitimacy', 0.6842479109764099), ('legitimate', 0.578252911567688), ('institutionalization', 0.4262685477733612)]"
13,logic,0.32352817,"[('institutional', 0.503314733505249), ('institutionalization', 0.4603893756866455), ('normative', 0.42512309551239014)]"
14,constitutive,0.32107332,"[('taken_granted', 0.5669232606887817), ('socially_constructed', 0.5512641668319702), ('legitimate', 0.49001431465148926)]"
15,coercive_mimetic,0.32010472,"[('normative', 0.4918965697288513), ('institutional', 0.45743104815483093), ('institutionalization', 0.4484536051750183)]"
16,rules,0.32010168,"[('norms', 0.6431149244308472), ('norm', 0.48805999755859375), ('normative', 0.4665464758872986)]"
17,pressures,0.31869137,"[('coercive', 0.49643656611442566), ('institutional', 0.46618521213531494), ('norms', 0.4281931519508362)]"
18,conforming,0.3175913,"[('conform', 0.6506941914558411), ('conformity', 0.5648020505905151), ('norms', 0.5108444690704346)]"
19,legitimize,0.3174208,"[('legitimate', 0.6165717840194702), ('rationalize', 0.6072777509689331), ('institutionalize', 0.5749687552452087)]"
20,embedded,0.31734496,"[('taken_granted', 0.4812081754207611), ('institutional', 0.47060418128967285), ('norms', 0.4598413109779358)]"
21,organizational_fields,0.3167959,"[('organizational_field', 0.6566089391708374), ('institutionalization', 0.5686289072036743), ('institutional', 0.539506733417511)]"
22,regulative,0.3162604,"[('normative', 0.5112360119819641), ('legitimacy', 0.4568961262702942), ('institutional', 0.44750237464904785)]"
23,legitimization,0.31606343,"[('legitimacy', 0.5823476910591125), ('legitimate', 0.4949520230293274), ('institutionalization', 0.4463110864162445)]"
24,organizations,0.31486315,"[('institutional', 0.4988829493522644), ('organizational_field', 0.4683714210987091), ('professional', 0.4656722843647003)]"
25,structures,0.31384465,"[('institutional', 0.49598053097724915), ('loosely_coupled', 0.47836124897003174), ('norms', 0.4466264247894287)]"
26,emergence,0.3128515,"[('institutionalization', 0.5911881923675537), ('diffusion', 0.4879167079925537), ('institutional', 0.4444872736930847)]"
27,normative_mimetic,0.31241357,"[('coercive', 0.5014514923095703), ('isomorphic', 0.4780173897743225), ('institutional', 0.46835726499557495)]"
28,institutions,0.3085118,"[('institutional', 0.6964472532272339), ('institutionalization', 0.5073671340942383), ('organizational_field', 0.46776649355888367)]"
29,practice,0.30707818,"[('professional', 0.500157356262207), ('institutional', 0.4799451231956482), ('profession', 0.452164888381958)]"
30,societal,0.3065352,"[('institutional', 0.5285121202468872), ('normative', 0.5134479999542236), ('norms', 0.5029481649398804)]"
31,emulation,0.3062375,"[('diffusion', 0.5094670057296753), ('institutionalization', 0.46815845370292664), ('imitation', 0.46107691526412964)]"
32,embody,0.3060449,"[('taken_granted', 0.47692054510116577), ('conform', 0.4683154821395874), ('socially_constructed', 0.4313546121120453)]"
33,prevailing,0.30561224,"[('taken_granted', 0.5099322199821472), ('norms', 0.49434134364128113), ('normative', 0.4901960492134094)]"
34,hegemonic,0.30442902,"[('legitimate', 0.4764305651187897), ('taken_granted', 0.4724266529083252), ('socially_constructed', 0.433685839176178)]"
35,discourse,0.3027897,"[('normative', 0.45866072177886963), ('taken_granted', 0.4550013840198517), ('socially_constructed', 0.45157143473625183)]"
36,bureaucratic,0.3022483,"[('rationalized', 0.5311520099639893), ('institutionalization', 0.45589128136634827), ('coercive', 0.4448446035385132)]"
37,formal,0.30203563,"[('institutional', 0.44683122634887695), ('loosely_coupled', 0.4408079981803894), ('professional', 0.4339423179626465)]"
