,term,cosine_sim_with_core, closest_terms_from_core
0,ceremonial,0.19810006,"[('ceremonial', 1.0), ('ritual', 0.5557830929756165), ('loosely_coupled', 0.3164962828159332)]"
1,coercion,0.20476511,"[('coercion', 1.0), ('coercive', 0.5829427242279053), ('legitimacy', 0.33202195167541504)]"
2,coercive,0.23899162,"[('coercive', 1.0), ('coercion', 0.5829427242279053), ('normative', 0.43328505754470825)]"
3,conform,0.21801394,"[('conform', 0.9999998211860657), ('norms', 0.4450582265853882), ('norm', 0.4092656075954437)]"
4,conformity,0.23196629,"[('conformity', 1.000000238418579), ('norms', 0.5324293375015259), ('norm', 0.4442887604236603)]"
5,cultural,0.25807014,"[('cultural', 1.0), ('institutional', 0.4700193405151367), ('norms', 0.4476274847984314)]"
6,decoupled,0.17045036,"[('decoupled', 1.0), ('normative', 0.25061410665512085), ('rationalized', 0.23535077273845673)]"
7,diffuse,0.2075824,"[('diffuse', 1.0), ('legitimacy', 0.3344089984893799), ('norms', 0.33042728900909424)]"
8,diffusion,0.18750966,"[('diffusion', 1.0000001192092896), ('innovation', 0.5762572884559631), ('cultural', 0.3796851634979248)]"
9,imitate,0.15282196,"[('imitate', 1.0), ('imitation', 0.4182334542274475), ('conform', 0.26626694202423096)]"
10,imitation,0.18817826,"[('imitation', 0.9999999403953552), ('imitate', 0.4182334542274475), ('diffusion', 0.3294990062713623)]"
11,innovation,0.21415128,"[('innovation', 1.0), ('diffusion', 0.5762572884559631), ('institutional', 0.34980666637420654)]"
12,institutional,0.2617611,"[('institutional', 1.0), ('cultural', 0.4700193405151367), ('normative', 0.41757020354270935)]"
13,institutionalize,0.23015429,"[('institutionalize', 1.0), ('institutionalize', 1.0), ('legitimate', 0.32053878903388977)]"
14,institutionalize,0.23015429,"[('institutionalize', 1.0), ('institutionalize', 1.0), ('legitimate', 0.32053878903388977)]"
15,isomorphic,0.16866831,"[('isomorphic', 0.9999999403953552), ('taken_granted', 0.2865391671657562), ('conform', 0.24447423219680786)]"
16,legitimacy,0.25327507,"[('legitimacy', 1.0000001192092896), ('legitimate', 0.5667808651924133), ('norms', 0.38040870428085327)]"
17,legitimate,0.28026125,"[('legitimate', 1.0), ('legitimacy', 0.5667808651924133), ('coercive', 0.3997945785522461)]"
18,loosely_coupled,0.159274,"[('loosely_coupled', 0.9999998211860657), ('ceremonial', 0.3164962828159332), ('organizational_field', 0.24635088443756104)]"
19,mimetic,0.13689053,"[('mimetic', 1.0), ('cultural', 0.21312101185321808), ('ritual', 0.17719797790050507)]"
20,norm,0.24996962,"[('norm', 0.9999998807907104), ('norms', 0.715367317199707), ('normative', 0.543875515460968)]"
21,normative,0.30527318,"[('normative', 0.9999999403953552), ('norms', 0.6208094954490662), ('norm', 0.543875515460968)]"
22,norms,0.31595227,"[('norms', 0.9999999403953552), ('norm', 0.715367317199707), ('normative', 0.6208094954490662)]"
23,organizational_field,0.14010891,"[('organizational_field', 1.0), ('loosely_coupled', 0.24635088443756104), ('diffuse', 0.20876795053482056)]"
24,profession,0.22376414,"[('profession', 0.9999998211860657), ('professional', 0.7094353437423706), ('norms', 0.29033738374710083)]"
25,professional,0.23389645,"[('professional', 0.9999998807907104), ('profession', 0.7094353437423706), ('institutional', 0.3601323366165161)]"
26,rationalize,0.1662569,"[('rationalize', 1.0), ('rationalized', 0.32590043544769287), ('legitimate', 0.2585364878177643)]"
27,rationalized,0.22636361,"[('rationalized', 1.000000238418579), ('rationalize', 0.32590043544769287), ('institutional', 0.32517269253730774)]"
28,ritual,0.20353399,"[('ritual', 1.0), ('ceremonial', 0.5557830333709717), ('cultural', 0.24752920866012573)]"
29,socially_constructed,0.18248309,"[('socially_constructed', 0.9999998807907104), ('taken_granted', 0.4292909801006317), ('cultural', 0.26355040073394775)]"
30,taken_granted,0.2146262,"[('taken_granted', 1.0), ('socially_constructed', 0.4292910099029541), ('normative', 0.3242778778076172)]"
0,institutionalized,0.2737421,"[('legitimate', 0.508110523223877), ('institutional', 0.4989257752895355), ('norms', 0.47627484798431396)]"
