,term,cosine_sim_with_core, closest_terms_from_core
0,ceremonial,0.26964843,"[('ceremonial', 0.9999998807907104), ('ritual', 0.5492954254150391), ('rationalized', 0.330548495054245)]"
1,coercion,0.288632,"[('coercion', 0.9999998807907104), ('coercive', 0.7483768463134766), ('legitimate', 0.42388206720352173)]"
2,coercive,0.33432317,"[('coercive', 1.0), ('coercion', 0.7483768463134766), ('legitimate', 0.46505916118621826)]"
3,conform,0.33319888,"[('conform', 0.9999998211860657), ('norms', 0.554225742816925), ('conformity', 0.5209583640098572)]"
4,conformity,0.34395826,"[('conformity', 1.0000001192092896), ('norms', 0.5562041997909546), ('conform', 0.5209583640098572)]"
5,cultural,0.26943734,"[('cultural', 1.0000001192092896), ('institutional', 0.5331804752349854), ('norms', 0.40401726961135864)]"
6,decoupled,0.28984687,"[('decoupled', 1.0), ('rationalized', 0.3846312463283539), ('loosely_coupled', 0.37653908133506775)]"
7,diffuse,0.33393568,"[('diffuse', 0.9999998211860657), ('diffusion', 0.5188144445419312), ('taken_granted', 0.41459953784942627)]"
8,diffusion,0.3157883,"[('diffusion', 0.9999997615814209), ('innovation', 0.5328093767166138), ('imitation', 0.5224403142929077)]"
9,imitate,0.2855831,"[('imitate', 0.9999999403953552), ('imitation', 0.6666123867034912), ('mimetic', 0.5061920881271362)]"
10,imitation,0.29652217,"[('imitation', 1.0000001192092896), ('imitate', 0.6666123867034912), ('diffusion', 0.5224403142929077)]"
11,innovation,0.2529556,"[('innovation', 1.0000001192092896), ('diffusion', 0.5328093767166138), ('imitation', 0.48270997405052185)]"
12,institutional,0.36273077,"[('institutional', 1.0000001192092896), ('organizational_field', 0.5925328731536865), ('legitimacy', 0.5691306591033936)]"
13,institutionalize,0.3498843,"[('institutionalize', 1.0), ('institutionalize', 1.0), ('legitimate', 0.47918564081192017)]"
14,institutionalize,0.3498843,"[('institutionalize', 1.0), ('institutionalize', 1.0), ('legitimate', 0.47918564081192017)]"
15,isomorphic,0.34387124,"[('isomorphic', 1.0), ('mimetic', 0.45952415466308594), ('organizational_field', 0.4324805736541748)]"
16,legitimacy,0.39045244,"[('legitimacy', 1.0), ('legitimate', 0.6487448811531067), ('institutional', 0.5691306591033936)]"
17,legitimate,0.38824677,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.6487448811531067), ('taken_granted', 0.5205843448638916)]"
18,loosely_coupled,0.29767436,"[('loosely_coupled', 1.0000001192092896), ('isomorphic', 0.4110681414604187), ('decoupled', 0.37653908133506775)]"
19,mimetic,0.33811963,"[('mimetic', 1.0000001192092896), ('imitate', 0.5061920881271362), ('imitation', 0.47920334339141846)]"
20,norm,0.29904383,"[('norm', 1.0), ('norms', 0.7124671936035156), ('normative', 0.5657549500465393)]"
21,normative,0.3985689,"[('normative', 1.0000001192092896), ('norms', 0.6918001174926758), ('norm', 0.5657549500465393)]"
22,norms,0.3881157,"[('norms', 0.9999999403953552), ('norm', 0.7124671936035156), ('normative', 0.6918001174926758)]"
23,organizational_field,0.33518964,"[('organizational_field', 0.9999997615814209), ('institutional', 0.5925328731536865), ('legitimacy', 0.5236252546310425)]"
24,profession,0.25802875,"[('profession', 1.0000001192092896), ('professional', 0.654997706413269), ('organizational_field', 0.3940306007862091)]"
25,professional,0.28659913,"[('professional', 1.0000001192092896), ('profession', 0.654997706413269), ('institutional', 0.3963959217071533)]"
26,rationalize,0.2691441,"[('rationalize', 0.9999999403953552), ('rationalized', 0.5167598128318787), ('legitimate', 0.4324882924556732)]"
27,rationalized,0.31889576,"[('rationalized', 1.0), ('rationalize', 0.5167598128318787), ('legitimate', 0.44337135553359985)]"
28,ritual,0.24744956,"[('ritual', 0.9999998807907104), ('ceremonial', 0.5492954254150391), ('taken_granted', 0.34368860721588135)]"
29,socially_constructed,0.30968216,"[('socially_constructed', 1.0000001192092896), ('taken_granted', 0.5885109901428223), ('legitimate', 0.4874454736709595)]"
30,taken_granted,0.36249697,"[('taken_granted', 1.0000001192092896), ('socially_constructed', 0.5885109901428223), ('legitimate', 0.5205842852592468)]"
0,institutionalization,0.37615207,"[('institutional', 0.5887587070465088), ('diffusion', 0.5752015113830566), ('legitimacy', 0.5623477697372437)]"
1,institutionalized,0.3623991,"[('taken_granted', 0.5570008754730225), ('legitimate', 0.5462055206298828), ('institutionalize', 0.4811238646507263)]"
2,legitimated,0.35546982,"[('legitimate', 0.6191673278808594), ('taken_granted', 0.553859531879425), ('rationalized', 0.5004487633705139)]"
3,rowan,0.35350928,"[('institutional', 0.5302399396896362), ('legitimacy', 0.5297126173973083), ('isomorphic', 0.4844851493835449)]"
4,practices,0.3501619,"[('institutional', 0.5156196355819702), ('norms', 0.5082595944404602), ('cultural', 0.4501933157444)]"
5,legitimized,0.34339774,"[('legitimate', 0.620229959487915), ('taken_granted', 0.5493914484977722), ('institutionalize', 0.49401968717575073)]"
