,term,cosine_sim_with_core, closest_terms_from_core
0,ceremonial,0.2743858,"[('ceremonial', 0.9999999403953552), ('ritual', 0.6823369264602661), ('rationalized', 0.37010449171066284)]"
1,coercion,0.2784352,"[('coercion', 0.9999998807907104), ('coercive', 0.7986548542976379), ('conformity', 0.4332742989063263)]"
2,coercive,0.3312835,"[('coercive', 0.9999999403953552), ('coercion', 0.7986548542976379), ('normative', 0.4794446527957916)]"
3,conform,0.33102134,"[('conform', 1.000000238418579), ('conformity', 0.5248026847839355), ('norms', 0.5172679424285889)]"
4,conformity,0.35681334,"[('conformity', 1.0000001192092896), ('norms', 0.5903559923171997), ('normative', 0.5615842342376709)]"
5,cultural,0.29480353,"[('cultural', 1.0000001192092896), ('institutional', 0.5535339117050171), ('norms', 0.4430391192436218)]"
6,decouple,0.29633564,"[('decouple', 1.000000238418579), ('decoupled', 0.6443266868591309), ('rationalize', 0.4272729754447937)]"
7,decoupled,0.3250534,"[('decoupled', 0.9999998807907104), ('decouple', 0.6443266868591309), ('loosely_coupled', 0.45257100462913513)]"
8,diffuse,0.3378932,"[('diffuse', 0.9999999403953552), ('diffusion', 0.5071843862533569), ('isomorphic', 0.4058033227920532)]"
9,diffusion,0.333292,"[('diffusion', 1.0), ('imitation', 0.6132009029388428), ('innovation', 0.5999802947044373)]"
10,imitate,0.3066157,"[('imitate', 0.9999999403953552), ('imitation', 0.6853729486465454), ('mimetic', 0.5354466438293457)]"
11,imitation,0.31610528,"[('imitation', 1.000000238418579), ('imitate', 0.6853729486465454), ('diffusion', 0.6132009029388428)]"
12,innovation,0.29007566,"[('innovation', 0.9999998807907104), ('diffusion', 0.5999802947044373), ('imitation', 0.539713978767395)]"
13,institutional,0.39565182,"[('institutional', 1.0), ('organizational_field', 0.6307151317596436), ('institutionalization', 0.6048918962478638)]"
14,institutionalize,0.3487131,"[('institutionalize', 1.0), ('rationalize', 0.571699857711792), ('institutionalization', 0.5278648138046265)]"
15,institutionalization,0.40014374,"[('institutionalization', 1.0), ('institutional', 0.6048918962478638), ('legitimacy', 0.5494214296340942)]"
16,isomorphic,0.3625573,"[('isomorphic', 1.0000001192092896), ('mimetic', 0.5244942307472229), ('organizational_field', 0.5166589617729187)]"
17,legitimacy,0.40080577,"[('legitimacy', 0.9999998211860657), ('legitimate', 0.6481748223304749), ('institutional', 0.5831193923950195)]"
18,legitimate,0.3941185,"[('legitimate', 1.0), ('legitimacy', 0.6481748223304749), ('normative', 0.5450646877288818)]"
19,loosely_coupled,0.31278408,"[('loosely_coupled', 0.9999998807907104), ('decoupled', 0.45257100462913513), ('isomorphic', 0.4467122256755829)]"
20,mimetic,0.34967014,"[('mimetic', 1.0), ('imitation', 0.5733580589294434), ('imitate', 0.5354466438293457)]"
21,norm,0.31086272,"[('norm', 1.0), ('norms', 0.7290570735931396), ('normative', 0.5601129531860352)]"
22,normative,0.40930146,"[('normative', 1.0), ('norms', 0.6598103642463684), ('conformity', 0.5615842342376709)]"
23,norms,0.3958928,"[('norms', 1.0), ('norm', 0.7290570735931396), ('normative', 0.6598103642463684)]"
24,organizational_field,0.3613277,"[('organizational_field', 0.9999998211860657), ('institutional', 0.6307151317596436), ('institutionalization', 0.5200758576393127)]"
25,profession,0.26983714,"[('profession', 0.9999998211860657), ('professional', 0.6966233253479004), ('organizational_field', 0.4078091084957123)]"
26,professional,0.3010561,"[('professional', 1.0000001192092896), ('profession', 0.6966233253479004), ('institutional', 0.43351349234580994)]"
27,rationalize,0.3003956,"[('rationalize', 0.9999998807907104), ('rationalized', 0.5893799662590027), ('institutionalize', 0.571699857711792)]"
28,rationalized,0.35522646,"[('rationalized', 1.0), ('rationalize', 0.5893799662590027), ('institutionalize', 0.4553788900375366)]"
29,ritual,0.24337795,"[('ritual', 0.9999998807907104), ('ceremonial', 0.6823369264602661), ('taken_granted', 0.339332640171051)]"
30,socially_constructed,0.31644794,"[('socially_constructed', 0.9999998211860657), ('taken_granted', 0.6055870056152344), ('legitimate', 0.43672284483909607)]"
31,taken_granted,0.369909,"[('taken_granted', 1.0), ('socially_constructed', 0.6055870056152344), ('legitimate', 0.5212787389755249)]"
0,institutionalized,0.40760052,"[('institutionalization', 0.7140557169914246), ('institutionalize', 0.6121108531951904), ('taken_granted', 0.5916495323181152)]"
1,rowan,0.39914253,"[('institutional', 0.5814299583435059), ('organizational_field', 0.5745095014572144), ('legitimacy', 0.5699087977409363)]"
2,legitimated,0.3811707,"[('legitimate', 0.7067933082580566), ('rationalized', 0.6024986505508423), ('taken_granted', 0.5521094799041748)]"
3,legitimating,0.37475973,"[('legitimacy', 0.6634660363197327), ('legitimate', 0.659342885017395), ('institutionalization', 0.512043297290802)]"
4,normative_pressures,0.3629042,"[('norms', 0.5802843570709229), ('mimetic', 0.4936143159866333), ('isomorphic', 0.4838383197784424)]"
5,legitimized,0.36180356,"[('legitimate', 0.6730912923812866), ('institutionalize', 0.5674524307250977), ('taken_granted', 0.5578912496566772)]"
6,institutional_pressures,0.35916704,"[('institutional', 0.6106494665145874), ('organizational_field', 0.5738049745559692), ('mimetic', 0.5296400785446167)]"
7,institutional_environment,0.35758296,"[('institutional', 0.7078489065170288), ('organizational_field', 0.5756527781486511), ('legitimacy', 0.5503339171409607)]"
8,legitimization,0.35675913,"[('legitimacy', 0.6604855060577393), ('legitimate', 0.6046808958053589), ('institutionalization', 0.5246816277503967)]"
