,term,cosine_sim_with_core, closest_terms_from_core
0,carrying_capacity,0.28540772,"[('carrying_capacity', 0.9999998807907104), ('ecological', 0.46149447560310364), ('density', 0.4361685812473297)]"
1,chance_survival,0.19108358,"[('chance_survival', 1.0), ('natural_selection', 0.3109509348869324), ('organizational_form', 0.2769457995891571)]"
2,competition,0.30552992,"[('competition', 1.000000238418579), ('niche', 0.45393499732017517), ('evolution', 0.43516644835472107)]"
3,death_rate,0.14874057,"[('death_rate', 1.0), ('population', 0.38298308849334717), ('chance_survival', 0.2569410502910614)]"
4,density,0.2934038,"[('density', 0.9999999403953552), ('failure_rate', 0.4653545618057251), ('population', 0.46336662769317627)]"
5,ecological,0.2834068,"[('ecological', 1.0000001192092896), ('ecology', 0.7464244365692139), ('carrying_capacity', 0.46149447560310364)]"
6,ecology,0.31208032,"[('ecology', 0.9999999403953552), ('ecological', 0.7464244365692139), ('evolution', 0.5514137744903564)]"
7,evolution,0.3487828,"[('evolution', 0.9999999403953552), ('evolutionary', 0.7407130002975464), ('ecology', 0.5514137744903564)]"
8,evolutionary,0.31208852,"[('evolutionary', 0.9999996423721313), ('evolution', 0.7407130002975464), ('natural_selection', 0.6810648441314697)]"
9,failure_rate,0.22804439,"[('failure_rate', 0.9999999403953552), ('density', 0.4653545618057251), ('competition', 0.32135069370269775)]"
10,fitness,0.25455004,"[('fitness', 0.9999998211860657), ('natural_selection', 0.42660170793533325), ('evolutionary', 0.3696904480457306)]"
11,generalist,0.24000077,"[('generalist', 1.0000001192092896), ('specialist', 0.6531674861907959), ('niche', 0.5266430974006653)]"
12,inertia,0.29234248,"[('inertia', 1.0), ('inertial', 0.5706964135169983), ('structural_inertia', 0.5089569091796875)]"
13,inertial,0.22303002,"[('inertial', 1.0), ('inertia', 0.5706964135169983), ('structural_inertia', 0.41533172130584717)]"
14,legitimacy,0.29702812,"[('legitimacy', 1.0), ('legitimate', 0.6487448811531067), ('organizational_form', 0.47092199325561523)]"
15,legitimate,0.2120085,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.6487448811531067), ('organizational_form', 0.34594792127609253)]"
16,natural_selection,0.25155193,"[('natural_selection', 1.0), ('evolutionary', 0.6810648441314697), ('evolution', 0.5155097246170044)]"
17,niche,0.31388542,"[('niche', 0.9999998807907104), ('generalist', 0.5266430974006653), ('organizational_form', 0.4574597477912903)]"
18,organizational_form,0.33000845,"[('organizational_form', 0.9999998807907104), ('legitimacy', 0.47092199325561523), ('population_ecology', 0.4701804220676422)]"
19,population,0.26073724,"[('population', 1.0), ('density', 0.46336662769317627), ('death_rate', 0.38298308849334717)]"
20,population_ecology,0.33890504,"[('population_ecology', 0.9999999403953552), ('structural_inertia', 0.4814032018184662), ('organizational_form', 0.4701804220676422)]"
21,reliability,0.18285783,"[('reliability', 0.9999998807907104), ('selection', 0.32331204414367676), ('selection', 0.32331204414367676)]"
22,resistance_change,0.19504215,"[('resistance_change', 1.0), ('inertia', 0.4131544232368469), ('structural_inertia', 0.36112603545188904)]"
23,selection,0.2795941,"[('selection', 1.0000001192092896), ('selection', 1.0000001192092896), ('evolution', 0.402752548456192)]"
24,selection,0.2795941,"[('selection', 1.0000001192092896), ('selection', 1.0000001192092896), ('evolution', 0.402752548456192)]"
25,specialism,0.20682992,"[('specialism', 0.9999999403953552), ('specialist', 0.3992462754249573), ('generalist', 0.3887483477592468)]"
26,specialist,0.25186184,"[('specialist', 1.0), ('generalist', 0.6531674861907959), ('niche', 0.44913363456726074)]"
27,structural_inertia,0.2926925,"[('structural_inertia', 1.0), ('inertia', 0.5089569091796875), ('population_ecology', 0.4814032018184662)]"
