,term,cosine_sim_with_core, closest_terms_from_core
0,accountability,0.20013924,"[('accountability', 1.0), ('legitimacy', 0.4693465232849121), ('legitimate', 0.3465668261051178)]"
1,carrying_capacity,0.35092545,"[('carrying_capacity', 1.0), ('founding_rate', 0.5305352807044983), ('niche', 0.5250495672225952)]"
2,chance_survival,0.23196642,"[('chance_survival', 1.0), ('survival', 0.4716508984565735), ('failure_rate', 0.31689876317977905)]"
3,competition,0.3465958,"[('competition', 1.0000001192092896), ('evolution', 0.5047576427459717), ('niche', 0.491802453994751)]"
4,death_rate,0.27993897,"[('death_rate', 0.9999999403953552), ('population', 0.4978584945201874), ('density', 0.443746417760849)]"
5,density,0.35068595,"[('density', 1.0), ('founding_rate', 0.6536205410957336), ('failure_rate', 0.5828856229782104)]"
6,ecological,0.34027636,"[('ecological', 1.0000001192092896), ('ecology', 0.7647542953491211), ('evolutionary', 0.5009440183639526)]"
7,ecology,0.32437932,"[('ecology', 1.0), ('ecological', 0.7647542953491211), ('evolution', 0.5440096855163574)]"
8,evolution,0.39556384,"[('evolution', 1.0), ('evolutionary', 0.7876766920089722), ('natural_selection', 0.5756901502609253)]"
9,evolutionary,0.34056294,"[('evolutionary', 0.9999998807907104), ('evolution', 0.7876766920089722), ('natural_selection', 0.7367150187492371)]"
10,failure_rate,0.3321389,"[('failure_rate', 1.0000001192092896), ('density', 0.5828856229782104), ('founding_rate', 0.5783700346946716)]"
11,fitness,0.29210243,"[('fitness', 0.9999998807907104), ('natural_selection', 0.45703935623168945), ('evolutionary', 0.3987520635128021)]"
12,founding_rate,0.33909371,"[('founding_rate', 1.0000001192092896), ('density', 0.6536205410957336), ('failure_rate', 0.5783700346946716)]"
13,generalist,0.3183138,"[('generalist', 1.0), ('specialist', 0.737004816532135), ('niche', 0.5563840866088867)]"
14,inertia,0.37245867,"[('inertia', 0.9999998807907104), ('inertial', 0.7154231071472168), ('structural_inertia', 0.6286770105361938)]"
