,term,cosine_sim_with_core, closest_terms_from_core
0,ceremonial,0.20778182,"[('ceremonial', 0.9999999403953552), ('ritual', 0.5425205230712891), ('rationalized', 0.26984933018684387)]"
1,coercion,0.23678602,"[('coercion', 1.0), ('coercive', 0.7077860236167908), ('normative', 0.36901843547821045)]"
2,coercive,0.27738538,"[('coercive', 0.9999998807907104), ('coercion', 0.7077860236167908), ('conformity', 0.45754867792129517)]"
3,conform,0.30641142,"[('conform', 1.0), ('conformity', 0.5379632711410522), ('norms', 0.510109007358551)]"
4,conformity,0.3357208,"[('conformity', 0.9999998807907104), ('norms', 0.5670039653778076), ('conform', 0.5379632711410522)]"
5,cultural,0.2647245,"[('cultural', 1.0), ('institutional', 0.5004578828811646), ('norms', 0.42476487159729004)]"
6,decoupled,0.26152626,"[('decoupled', 1.000000238418579), ('loosely_coupled', 0.45346713066101074), ('isomorphic', 0.4236235022544861)]"
7,diffuse,0.2865099,"[('diffuse', 1.0), ('diffusion', 0.4586656093597412), ('isomorphic', 0.35634517669677734)]"
8,diffusion,0.28992516,"[('diffusion', 0.9999998211860657), ('imitation', 0.5766730308532715), ('innovation', 0.5741033554077148)]"
9,imitate,0.2705906,"[('imitate', 0.9999999403953552), ('imitation', 0.607554018497467), ('mimetic', 0.4602776765823364)]"
10,imitation,0.28791437,"[('imitation', 1.0), ('imitate', 0.607554018497467), ('diffusion', 0.5766730308532715)]"
11,innovation,0.26461184,"[('innovation', 1.0000001192092896), ('diffusion', 0.5741033554077148), ('imitation', 0.5390340089797974)]"
12,institutional,0.35700205,"[('institutional', 1.0), ('organizational_field', 0.5380913615226746), ('cultural', 0.5004578828811646)]"
13,institutionalize,0.2836331,"[('institutionalize', 1.0), ('institutionalize', 1.0), ('rationalize', 0.4714275300502777)]"
14,institutionalize,0.2836331,"[('institutionalize', 1.0), ('institutionalize', 1.0), ('rationalize', 0.4714275300502777)]"
15,isomorphic,0.32166824,"[('isomorphic', 0.9999998807907104), ('organizational_field', 0.48465394973754883), ('mimetic', 0.4449153542518616)]"
16,legitimacy,0.32888603,"[('legitimacy', 1.0), ('legitimate', 0.5918924808502197), ('institutional', 0.4985295534133911)]"
17,legitimate,0.34231058,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.5918924808502197), ('normative', 0.4687138497829437)]"
18,loosely_coupled,0.24283314,"[('loosely_coupled', 1.0), ('decoupled', 0.45346713066101074), ('isomorphic', 0.3616539537906647)]"
19,mimetic,0.2836765,"[('mimetic', 1.0), ('imitation', 0.5589090585708618), ('imitate', 0.4602776765823364)]"
20,norm,0.26610243,"[('norm', 1.0), ('norms', 0.6725383996963501), ('normative', 0.5278701782226562)]"
21,normative,0.3477704,"[('normative', 0.9999999403953552), ('norms', 0.6282988786697388), ('norm', 0.5278701782226562)]"
22,norms,0.3585219,"[('norms', 1.0), ('norm', 0.6725383996963501), ('normative', 0.6282988786697388)]"
23,organizational_field,0.320899,"[('organizational_field', 1.0000001192092896), ('institutional', 0.5380913615226746), ('isomorphic', 0.48465394973754883)]"
24,profession,0.23970053,"[('profession', 0.9999998807907104), ('professional', 0.6883775591850281), ('legitimate', 0.368979275226593)]"
25,professional,0.2593593,"[('professional', 1.0), ('profession', 0.6883775591850281), ('organizational_field', 0.36208176612854004)]"
26,rationalize,0.24731809,"[('rationalize', 1.0), ('institutionalize', 0.4714275300502777), ('institutionalize', 0.4714275300502777)]"
27,rationalized,0.30122566,"[('rationalized', 1.0000001192092896), ('rationalize', 0.4303431510925293), ('decoupled', 0.38199400901794434)]"
28,ritual,0.21119541,"[('ritual', 0.9999999403953552), ('ceremonial', 0.5425205230712891), ('decoupled', 0.2764829993247986)]"
29,socially_constructed,0.26121992,"[('socially_constructed', 1.0), ('taken_granted', 0.5214648246765137), ('norms', 0.37309545278549194)]"
30,taken_granted,0.32818106,"[('taken_granted', 0.9999998807907104), ('socially_constructed', 0.5214648246765137), ('legitimate', 0.4517948031425476)]"
0,coercive,0.27738538,"[('coercive', 0.9999998807907104), ('coercion', 0.7077860236167908), ('conformity', 0.45754867792129517)]"
1,conception,0.2497548,"[('normative', 0.4103996753692627), ('socially_constructed', 0.3813290596008301), ('rationalized', 0.35203486680984497)]"
2,conceptions,0.2505194,"[('norms', 0.4356403946876526), ('normative', 0.41365087032318115), ('socially_constructed', 0.40816521644592285)]"
3,conform,0.30641142,"[('conform', 1.0), ('conformity', 0.5379632711410522), ('norms', 0.510109007358551)]"
4,conforming,0.26933762,"[('conform', 0.589117705821991), ('conformity', 0.5408569574356079), ('norms', 0.42354315519332886)]"
5,conformity,0.3357208,"[('conformity', 0.9999998807907104), ('norms', 0.5670039653778076), ('conform', 0.5379632711410522)]"
6,cultural,0.2647245,"[('cultural', 1.0), ('institutional', 0.5004578828811646), ('norms', 0.42476487159729004)]"
7,diffuse,0.2865099,"[('diffuse', 1.0), ('diffusion', 0.4586656093597412), ('isomorphic', 0.35634517669677734)]"
8,diffused,0.2737896,"[('diffuse', 0.6024595499038696), ('diffusion', 0.5135948657989502), ('rationalized', 0.39485442638397217)]"
9,diffusion,0.28992516,"[('diffusion', 0.9999998211860657), ('imitation', 0.5766730308532715), ('innovation', 0.5741033554077148)]"
10,ideologies,0.27945724,"[('norms', 0.4576641321182251), ('normative', 0.4391360580921173), ('legitimate', 0.4062480330467224)]"
11,illegitimate,0.25103676,"[('legitimate', 0.5927575826644897), ('legitimacy', 0.40515339374542236), ('coercive', 0.3627123236656189)]"
12,imitate,0.2705906,"[('imitate', 0.9999999403953552), ('imitation', 0.607554018497467), ('mimetic', 0.4602776765823364)]"
13,imitation,0.28791437,"[('imitation', 1.0), ('imitate', 0.607554018497467), ('diffusion', 0.5766730308532715)]"
14,imperative,0.2559012,"[('rationalized', 0.3566942811012268), ('normative', 0.34953561425209045), ('institutional', 0.3383285105228424)]"
15,imperatives,0.28237328,"[('institutional', 0.40578579902648926), ('rationalized', 0.4024694263935089), ('norms', 0.39597705006599426)]"
16,innovation,0.26461184,"[('innovation', 1.0000001192092896), ('diffusion', 0.5741033554077148), ('imitation', 0.5390340089797974)]"
17,institutional,0.35700205,"[('institutional', 1.0), ('organizational_field', 0.5380913615226746), ('cultural', 0.5004578828811646)]"
18,institutionalization,0.3432545,"[('institutional', 0.5728764533996582), ('diffusion', 0.4965832233428955), ('organizational_field', 0.46336477994918823)]"
19,institutionalized,0.3656336,"[('taken_granted', 0.5842287540435791), ('legitimate', 0.5190799236297607), ('institutional', 0.49467700719833374)]"
20,institutionally,0.27138788,"[('institutional', 0.46225443482398987), ('rationalized', 0.4280945658683777), ('legitimate', 0.39628344774246216)]"
21,institutions,0.29365104,"[('institutional', 0.6929017305374146), ('cultural', 0.420040488243103), ('organizational_field', 0.4105979800224304)]"
22,iron_cage,0.25663888,"[('organizational_field', 0.4249304533004761), ('institutional', 0.4226284325122833), ('rationalized', 0.3931087255477905)]"
23,isomorphic,0.32166824,"[('isomorphic', 0.9999998807907104), ('organizational_field', 0.48465394973754883), ('mimetic', 0.4449153542518616)]"
24,legitimacy,0.32888603,"[('legitimacy', 1.0), ('legitimate', 0.5918924808502197), ('institutional', 0.4985295534133911)]"
25,legitimate,0.34231058,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.5918924808502197), ('normative', 0.4687138497829437)]"
26,legitimated,0.31866467,"[('legitimate', 0.6227251291275024), ('rationalized', 0.5282578468322754), ('legitimacy', 0.49536067247390747)]"
27,legitimates,0.27734146,"[('legitimate', 0.49968698620796204), ('taken_granted', 0.4144469201564789), ('legitimacy', 0.4069277346134186)]"
28,legitimating,0.30280414,"[('legitimate', 0.580224871635437), ('legitimacy', 0.527096152305603), ('institutional', 0.3960048258304596)]"
29,legitimize,0.30938464,"[('rationalize', 0.6138526797294617), ('legitimate', 0.611570417881012), ('institutionalize', 0.521896481513977)]"
30,legitimized,0.30515856,"[('legitimate', 0.6163495779037476), ('rationalize', 0.48922213912010193), ('legitimacy', 0.47729000449180603)]"
31,legitimizing,0.27382848,"[('legitimate', 0.5295045375823975), ('legitimacy', 0.4929223656654358), ('rationalize', 0.37075215578079224)]"
32,logic,0.28914478,"[('institutional', 0.425275593996048), ('rationalized', 0.3947727680206299), ('organizational_field', 0.3611205220222473)]"
33,mimetic,0.2836765,"[('mimetic', 1.0), ('imitation', 0.5589090585708618), ('imitate', 0.4602776765823364)]"
34,norm,0.26610243,"[('norm', 1.0), ('norms', 0.6725383996963501), ('normative', 0.5278701782226562)]"
35,normative,0.3477704,"[('normative', 0.9999999403953552), ('norms', 0.6282988786697388), ('norm', 0.5278701782226562)]"
36,norms,0.3585219,"[('norms', 1.0), ('norm', 0.6725383996963501), ('normative', 0.6282988786697388)]"
37,organizational_field,0.320899,"[('organizational_field', 1.0000001192092896), ('institutional', 0.5380913615226746), ('isomorphic', 0.48465394973754883)]"
38,organizational_fields,0.29332864,"[('organizational_field', 0.6184844374656677), ('institutional', 0.5292000770568848), ('diffusion', 0.4163721799850464)]"
39,prevailing,0.26858595,"[('norms', 0.48631322383880615), ('taken_granted', 0.44652628898620605), ('conform', 0.4123130738735199)]"
40,professional,0.2593593,"[('professional', 1.0), ('profession', 0.6883775591850281), ('organizational_field', 0.36208176612854004)]"
41,professionalization,0.26541436,"[('professional', 0.5893313884735107), ('profession', 0.5780863761901855), ('institutional', 0.39869895577430725)]"
42,rationalization,0.25935486,"[('rationalized', 0.5635507106781006), ('rationalize', 0.370486319065094), ('institutional', 0.31175196170806885)]"
43,rationalized,0.30122566,"[('rationalized', 1.0000001192092896), ('rationalize', 0.4303431510925293), ('decoupled', 0.38199400901794434)]"
44,regulative,0.2774523,"[('normative', 0.4474543333053589), ('institutional', 0.40575724840164185), ('norms', 0.3725048303604126)]"
45,socially_constructed,0.26121992,"[('socially_constructed', 1.0), ('taken_granted', 0.5214648246765137), ('norms', 0.37309545278549194)]"
46,symbolic,0.2861492,"[('ritual', 0.514141321182251), ('cultural', 0.4303598999977112), ('institutional', 0.4288613200187683)]"
47,symbols,0.26108295,"[('ritual', 0.4610974192619324), ('cultural', 0.38270798325538635), ('norms', 0.368242472410202)]"
48,taken_granted,0.32818106,"[('taken_granted', 0.9999998807907104), ('socially_constructed', 0.5214648246765137), ('legitimate', 0.4517948031425476)]"
49,understandings,0.2765348,"[('taken_granted', 0.5543570518493652), ('socially_constructed', 0.5033162832260132), ('norms', 0.49172860383987427)]"
