,term,cosine_sim_with_core, closest_terms_from_core
0,carrying_capacity,0.21828952,"[('carrying_capacity', 0.9999999403953552), ('ecological', 0.3867432177066803), ('structural_inertia', 0.31728124618530273)]"
1,chance_survival,0.13312836,"[('chance_survival', 1.0), ('organizational_form', 0.2402864396572113), ('natural_selection', 0.20531854033470154)]"
2,competition,0.20917308,"[('competition', 1.0), ('niche', 0.3234180808067322), ('selection', 0.2666991651058197)]"
3,death_rate,0.16399309,"[('death_rate', 1.0), ('population', 0.47248369455337524), ('density', 0.29904383420944214)]"
4,density,0.15459044,"[('density', 1.0), ('population', 0.38881200551986694), ('death_rate', 0.29904383420944214)]"
5,ecological,0.24817128,"[('ecological', 1.0), ('ecology', 0.5304547548294067), ('evolution', 0.4002000093460083)]"
6,ecology,0.2395591,"[('ecology', 0.9999999403953552), ('ecological', 0.5304547548294067), ('evolution', 0.40365591645240784)]"
7,evolution,0.2824597,"[('evolution', 1.0), ('evolutionary', 0.7414820194244385), ('natural_selection', 0.5854550004005432)]"
8,evolutionary,0.2534662,"[('evolutionary', 0.9999999403953552), ('evolution', 0.7414820194244385), ('natural_selection', 0.5506810545921326)]"
9,failure_rate,0.111733116,"[('failure_rate', 0.9999999403953552), ('death_rate', 0.20997516810894012), ('population', 0.17040657997131348)]"
10,fitness,0.20358564,"[('fitness', 0.9999999403953552), ('natural_selection', 0.43950849771499634), ('evolution', 0.3313016891479492)]"
11,generalist,0.17052211,"[('generalist', 1.0), ('specialist', 0.4346293807029724), ('organizational_form', 0.2749372720718384)]"
12,inertia,0.16419794,"[('inertia', 1.0), ('evolutionary', 0.2564401924610138), ('structural_inertia', 0.2559763193130493)]"
13,inertial,0.121236764,"[('inertial', 0.9999996423721313), ('inertia', 0.2510661780834198), ('structural_inertia', 0.19486196339130402)]"
14,legitimacy,0.16172743,"[('legitimacy', 1.0000001192092896), ('legitimate', 0.5667808651924133), ('organizational_form', 0.23899368941783905)]"
15,legitimate,0.1460949,"[('legitimate', 1.0), ('legitimacy', 0.5667808651924133), ('organizational_form', 0.22292496263980865)]"
16,natural_selection,0.24469063,"[('natural_selection', 1.0), ('evolution', 0.5854550004005432), ('evolutionary', 0.5506810545921326)]"
17,niche,0.19394977,"[('niche', 0.9999999403953552), ('competition', 0.3234180808067322), ('ecology', 0.29346218705177307)]"
18,organizational_form,0.20817249,"[('organizational_form', 1.0), ('evolution', 0.33908772468566895), ('niche', 0.27996593713760376)]"
19,population,0.21271273,"[('population', 0.9999998211860657), ('death_rate', 0.47248369455337524), ('density', 0.38881200551986694)]"
20,population_ecology,0.21618988,"[('population_ecology', 1.0), ('ecology', 0.3404273986816406), ('ecological', 0.3401449918746948)]"
21,reliability,0.12954494,"[('reliability', 1.000000238418579), ('selection', 0.23903164267539978), ('selection', 0.23903164267539978)]"
22,resistance_change,0.14886402,"[('resistance_change', 0.9999999403953552), ('inertia', 0.2436240166425705), ('ecological', 0.21197912096977234)]"
23,selection,0.23124418,"[('selection', 1.0), ('selection', 1.0), ('natural_selection', 0.3911701440811157)]"
24,selection,0.23124418,"[('selection', 1.0), ('selection', 1.0), ('natural_selection', 0.3911701440811157)]"
25,specialism,0.14581248,"[('specialism', 0.9999997019767761), ('specialist', 0.2549000084400177), ('generalist', 0.22778195142745972)]"
26,specialist,0.15687136,"[('specialist', 1.0), ('generalist', 0.4346293807029724), ('specialism', 0.2549000084400177)]"
27,structural_inertia,0.18491636,"[('structural_inertia', 0.9999999403953552), ('carrying_capacity', 0.31728124618530273), ('inertia', 0.2559763193130493)]"
0,accountability,0.11512925,"[('legitimacy', 0.34071749448776245), ('organizational_form', 0.25618812441825867), ('legitimate', 0.2552764117717743)]"
1,adaptation,0.22778241,"[('evolution', 0.4757506847381592), ('evolutionary', 0.40588706731796265), ('natural_selection', 0.3754097819328308)]"
2,adaptive,0.21314578,"[('evolutionary', 0.4403058588504791), ('evolution', 0.3921636939048767), ('natural_selection', 0.3648812770843506)]"
3,carrying_capacities,0.16572838,"[('carrying_capacity', 0.47772589325904846), ('population_ecology', 0.3752319812774658), ('structural_inertia', 0.32363229990005493)]"
4,carrying_capacity,0.21828952,"[('carrying_capacity', 0.9999999403953552), ('ecological', 0.3867432177066803), ('structural_inertia', 0.31728124618530273)]"
5,death_rate,0.16399309,"[('death_rate', 1.0), ('population', 0.47248369455337524), ('density', 0.29904383420944214)]"
6,density,0.15459044,"[('density', 1.0), ('population', 0.38881200551986694), ('death_rate', 0.29904383420944214)]"
7,densities,0.15411413,"[('density', 0.6055494546890259), ('population', 0.3120855987071991), ('death_rate', 0.274042546749115)]"
8,ecological,0.24817128,"[('ecological', 1.0), ('ecology', 0.5304547548294067), ('evolution', 0.4002000093460083)]"
9,ecologists,0.14313184,"[('ecological', 0.4492873251438141), ('ecology', 0.4152356684207916), ('population_ecology', 0.2662975788116455)]"
10,ecology,0.2395591,"[('ecology', 0.9999999403953552), ('ecological', 0.5304547548294067), ('evolution', 0.40365591645240784)]"
11,ecosystem,0.20270447,"[('ecological', 0.4745718836784363), ('carrying_capacity', 0.4699931740760803), ('ecology', 0.40624141693115234)]"
12,ecosystems,0.17892095,"[('ecological', 0.3507370352745056), ('evolution', 0.34340086579322815), ('carrying_capacity', 0.33213865756988525)]"
13,entry_exit,0.09608452,"[('competition', 0.2532406151294708), ('niche', 0.21987149119377136), ('structural_inertia', 0.18962183594703674)]"
14,equilibrium,0.17555317,"[('inertia', 0.334822416305542), ('competition', 0.3275260031223297), ('carrying_capacity', 0.31598562002182007)]"
15,evolution,0.2824597,"[('evolution', 1.0), ('evolutionary', 0.7414820194244385), ('natural_selection', 0.5854550004005432)]"
16,evolutionary,0.2534662,"[('evolutionary', 0.9999999403953552), ('evolution', 0.7414820194244385), ('natural_selection', 0.5506810545921326)]"
17,evolve,0.17966339,"[('evolution', 0.46182137727737427), ('evolutionary', 0.3571670651435852), ('niche', 0.2901608347892761)]"
18,evolving,0.20199287,"[('evolution', 0.5517117977142334), ('evolutionary', 0.4458717107772827), ('natural_selection', 0.28616827726364136)]"
19,expansion_contraction,0.14148028,"[('evolution', 0.28053486347198486), ('carrying_capacity', 0.2767593264579773), ('niche', 0.25279685854911804)]"
20,extinction,0.17702965,"[('evolution', 0.4049222469329834), ('natural_selection', 0.37572693824768066), ('evolutionary', 0.33262884616851807)]"
21,failure_rate,0.111733116,"[('failure_rate', 0.9999999403953552), ('death_rate', 0.20997516810894012), ('population', 0.17040657997131348)]"
22,fitness,0.20358564,"[('fitness', 0.9999999403953552), ('natural_selection', 0.43950849771499634), ('evolution', 0.3313016891479492)]"
23,fittest,0.17230009,"[('fitness', 0.41981369256973267), ('natural_selection', 0.3988614082336426), ('evolution', 0.3153820335865021)]"
24,founding,0.115726165,"[('evolution', 0.29349058866500854), ('organizational_form', 0.27646133303642273), ('legitimate', 0.25233858823776245)]"
25,generalist,0.17052211,"[('generalist', 1.0), ('specialist', 0.4346293807029724), ('organizational_form', 0.2749372720718384)]"
26,inertia,0.16419794,"[('inertia', 1.0), ('evolutionary', 0.2564401924610138), ('structural_inertia', 0.2559763193130493)]"
27,inertial,0.121236764,"[('inertial', 0.9999996423721313), ('inertia', 0.2510661780834198), ('structural_inertia', 0.19486196339130402)]"
28,legitimacy,0.16172743,"[('legitimacy', 1.0000001192092896), ('legitimate', 0.5667808651924133), ('organizational_form', 0.23899368941783905)]"
29,legitimate,0.1460949,"[('legitimate', 1.0), ('legitimacy', 0.5667808651924133), ('organizational_form', 0.22292496263980865)]"
30,mortality,0.16898845,"[('death_rate', 0.6157354712486267), ('population', 0.4937438368797302), ('ecological', 0.3442661762237549)]"
31,niche,0.19394977,"[('niche', 0.9999999403953552), ('competition', 0.3234180808067322), ('ecology', 0.29346218705177307)]"
32,niches,0.15856838,"[('niche', 0.6072902083396912), ('competition', 0.3148820102214813), ('carrying_capacity', 0.2537529468536377)]"
33,obsolescence,0.14668052,"[('generalist', 0.3291131258010864), ('carrying_capacity', 0.22169670462608337), ('evolution', 0.2209387570619583)]"
34,organizational_change,0.19528827,"[('resistance_change', 0.37331461906433105), ('ecological', 0.3348994851112366), ('natural_selection', 0.3187565207481384)]"
35,organizational_form,0.20817249,"[('organizational_form', 1.0), ('evolution', 0.33908772468566895), ('niche', 0.27996593713760376)]"
36,organizational_forms,0.1951327,"[('organizational_form', 0.48115089535713196), ('evolution', 0.40300458669662476), ('natural_selection', 0.35601097345352173)]"
37,population,0.21271273,"[('population', 0.9999998211860657), ('death_rate', 0.47248369455337524), ('density', 0.38881200551986694)]"
38,populations,0.21289681,"[('population', 0.6759159564971924), ('ecological', 0.3887907564640045), ('death_rate', 0.33628812432289124)]"
39,resistance_change,0.14886402,"[('resistance_change', 0.9999999403953552), ('inertia', 0.2436240166425705), ('ecological', 0.21197912096977234)]"
40,selection,0.23124418,"[('selection', 1.0), ('selection', 1.0), ('natural_selection', 0.3911701440811157)]"
41,selective_retention,0.18223277,"[('evolution', 0.33326706290245056), ('natural_selection', 0.3250541090965271), ('evolutionary', 0.31350207328796387)]"
42,specialism,0.14581248,"[('specialism', 0.9999997019767761), ('specialist', 0.2549000084400177), ('generalist', 0.22778195142745972)]"
43,specialist,0.15687136,"[('specialist', 1.0), ('generalist', 0.4346293807029724), ('specialism', 0.2549000084400177)]"
44,specialization,0.18107529,"[('specialist', 0.35717421770095825), ('competition', 0.3052949905395508), ('generalist', 0.28594374656677246)]"
45,species,0.21136673,"[('natural_selection', 0.5467721819877625), ('evolution', 0.5144667625427246), ('evolutionary', 0.4739070534706116)]"
46,steady_state,0.17823479,"[('carrying_capacity', 0.3162016272544861), ('ecology', 0.29324477910995483), ('population', 0.28559738397598267)]"
47,succession,0.18444028,"[('evolution', 0.3844250440597534), ('evolutionary', 0.37952929735183716), ('ecological', 0.284329354763031)]"
48,survival,0.23035271,"[('evolution', 0.38052108883857727), ('natural_selection', 0.3772768974304199), ('fitness', 0.33765697479248047)]"
49,survive,0.19465937,"[('niche', 0.34686020016670227), ('evolution', 0.3180299401283264), ('natural_selection', 0.31629306077957153)]"
