,term,cosine_sim_with_core, closest_terms_from_core
0,carrying_capacity,0.30986905,"[('carrying_capacity', 1.000000238418579), ('niche', 0.5168653726577759), ('density', 0.4780316650867462)]"
1,chance_survival,0.19999512,"[('chance_survival', 1.0), ('failure_rate', 0.25754401087760925), ('evolutionary', 0.22017192840576172)]"
2,competition,0.3294166,"[('competition', 1.000000238418579), ('evolution', 0.4771859645843506), ('niche', 0.4550776183605194)]"
3,death_rate,0.21511123,"[('death_rate', 1.0000001192092896), ('population', 0.4277932345867157), ('density', 0.33747637271881104)]"
4,density,0.32274133,"[('density', 0.9999998807907104), ('failure_rate', 0.5560634136199951), ('population', 0.48758047819137573)]"
5,ecological,0.30266413,"[('ecological', 0.9999998807907104), ('ecology', 0.6858106851577759), ('population_ecology', 0.4651451110839844)]"
6,ecology,0.2920235,"[('ecology', 1.0), ('ecological', 0.6858106851577759), ('evolution', 0.4856095016002655)]"
7,evolution,0.37579232,"[('evolution', 0.9999998807907104), ('evolutionary', 0.7379711866378784), ('natural_selection', 0.5138029456138611)]"
8,evolutionary,0.33824205,"[('evolutionary', 1.0000001192092896), ('evolution', 0.7379711866378784), ('natural_selection', 0.6906414031982422)]"
9,failure_rate,0.30799395,"[('failure_rate', 0.9999998807907104), ('density', 0.5560634136199951), ('structural_inertia', 0.4429274797439575)]"
10,fitness,0.25412986,"[('fitness', 1.0), ('evolutionary', 0.44982632994651794), ('natural_selection', 0.4282344579696655)]"
11,generalist,0.29946965,"[('generalist', 1.0000001192092896), ('specialist', 0.6545769572257996), ('niche', 0.49918973445892334)]"
12,inertia,0.34224176,"[('inertia', 1.0), ('inertial', 0.6259135007858276), ('structural_inertia', 0.6157774925231934)]"
13,inertial,0.26759294,"[('inertial', 1.000000238418579), ('inertia', 0.6259135007858276), ('structural_inertia', 0.5043458938598633)]"
14,legitimacy,0.27489826,"[('legitimacy', 1.0), ('legitimate', 0.5918924808502197), ('organizational_form', 0.43609464168548584)]"
15,legitimate,0.17196003,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.5918924808502197), ('organizational_form', 0.34150487184524536)]"
16,natural_selection,0.30694154,"[('natural_selection', 1.0000001192092896), ('evolutionary', 0.6906414031982422), ('evolution', 0.5138029456138611)]"
17,niche,0.33424583,"[('niche', 0.9999998807907104), ('carrying_capacity', 0.5168653726577759), ('generalist', 0.49918973445892334)]"
18,organizational_form,0.3495138,"[('organizational_form', 1.0), ('population_ecology', 0.5335390567779541), ('evolution', 0.4632829427719116)]"
19,population,0.2917082,"[('population', 0.9999999403953552), ('density', 0.48758047819137573), ('carrying_capacity', 0.42857295274734497)]"
20,population_ecology,0.37010336,"[('population_ecology', 1.0), ('structural_inertia', 0.5983576774597168), ('organizational_form', 0.5335390567779541)]"
21,reliability,0.19420402,"[('reliability', 1.0000001192092896), ('selection', 0.3075908422470093), ('selection', 0.3075908422470093)]"
22,resistance_change,0.22598603,"[('resistance_change', 0.9999998211860657), ('inertia', 0.5601037740707397), ('structural_inertia', 0.436300665140152)]"
23,selection,0.29991117,"[('selection', 1.0), ('selection', 1.0), ('natural_selection', 0.4270097017288208)]"
24,selection,0.29991117,"[('selection', 1.0), ('selection', 1.0), ('natural_selection', 0.4270097017288208)]"
25,specialism,0.24535923,"[('specialism', 1.0000001192092896), ('generalist', 0.3901035487651825), ('niche', 0.36456847190856934)]"
26,specialist,0.27181557,"[('specialist', 1.0000001192092896), ('generalist', 0.6545769572257996), ('niche', 0.4173741340637207)]"
27,structural_inertia,0.35523602,"[('structural_inertia', 1.0), ('inertia', 0.6157774925231934), ('population_ecology', 0.5983576774597168)]"
0,accountability,0.15716025,"[('legitimacy', 0.40522751212120056), ('reliability', 0.3317139148712158), ('legitimate', 0.3084086775779724)]"
1,adaptation,0.31453267,"[('evolution', 0.5364757180213928), ('evolutionary', 0.48548203706741333), ('structural_inertia', 0.45845216512680054)]"
2,adaptive,0.3040031,"[('evolutionary', 0.5639064311981201), ('evolution', 0.512691080570221), ('natural_selection', 0.43670421838760376)]"
3,carrying_capacity,0.30986905,"[('carrying_capacity', 1.000000238418579), ('niche', 0.5168653726577759), ('density', 0.4780316650867462)]"
4,competitive_intensity,0.34888896,"[('competition', 0.5946173071861267), ('inertia', 0.4984615445137024), ('density', 0.4732595980167389)]"
5,competitive_pressure,0.2682425,"[('competition', 0.55347740650177), ('niche', 0.42006629705429077), ('inertia', 0.41487836837768555)]"
6,competitive_pressures,0.26892468,"[('competition', 0.594658613204956), ('niche', 0.39986851811408997), ('inertia', 0.3902127146720886)]"
