,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.19445117,"[('board_directors', 1.0), ('interlocking', 0.30362898111343384), ('interlock', 0.30162280797958374)]"
1,buffer,0.17370825,"[('buffer', 1.0000001192092896), ('pressure', 0.24641409516334534), ('external', 0.23124763369560242)]"
2,coalition,0.18885446,"[('coalition', 1.000000238418579), ('power', 0.3575894832611084), ('cooperation', 0.2710292935371399)]"
3,constrain,0.20022973,"[('constrain', 1.0), ('constraint', 0.38599491119384766), ('interdependent', 0.2871347665786743)]"
4,constraint,0.20080169,"[('constraint', 1.0), ('constrain', 0.38599491119384766), ('pressure', 0.29527294635772705)]"
5,control,0.26956728,"[('control', 1.0), ('power', 0.5057210326194763), ('influence', 0.49195873737335205)]"
6,cooperate,0.18239303,"[('cooperate', 1.0), ('cooperation', 0.5604329109191895), ('interdependence', 0.26491236686706543)]"
7,cooperation,0.2499566,"[('cooperation', 1.0000001192092896), ('cooperate', 0.5604329109191895), ('interdependence', 0.5219292640686035)]"
8,dependence,0.24748738,"[('dependence', 1.000000238418579), ('dependent', 0.5594958066940308), ('interdependence', 0.46155479550361633)]"
9,dependent,0.20946276,"[('dependent', 1.0), ('dependence', 0.5594958066940308), ('interdependent', 0.421542763710022)]"
10,director_interlocks,0.22660302,"[('director_interlocks', 0.9999997615814209), ('interlocking', 0.49176302552223206), ('interlock', 0.438427209854126)]"
11,diversification,0.2282217,"[('diversification', 1.0000001192092896), ('diversify', 0.5294159650802612), ('merger', 0.35802167654037476)]"
12,diversify,0.2075204,"[('diversify', 0.9999998807907104), ('diversification', 0.5294159650802612), ('merger', 0.27251094579696655)]"
13,dominance,0.1965154,"[('dominance', 1.0), ('power', 0.43484652042388916), ('influence', 0.3341313898563385)]"
14,exchange,0.24711485,"[('exchange', 1.0), ('network', 0.407797634601593), ('network', 0.407797634601593)]"
15,external,0.2430639,"[('external', 1.0), ('control', 0.42903411388397217), ('dependence', 0.38912272453308105)]"
16,horizontal,0.19045056,"[('horizontal', 1.0), ('vertical', 0.7679985761642456), ('interdependence', 0.28550177812576294)]"
17,influence,0.2645988,"[('influence', 0.9999998211860657), ('power', 0.5351159572601318), ('control', 0.49195873737335205)]"
18,interdependence,0.27908248,"[('interdependence', 1.0000001192092896), ('interdependent', 0.6027525067329407), ('cooperation', 0.5219292640686035)]"
19,interdependent,0.25979134,"[('interdependent', 0.9999998807907104), ('interdependence', 0.6027525067329407), ('dependent', 0.421542763710022)]"
20,interlock,0.20961788,"[('interlock', 0.9999999403953552), ('interlocking', 0.4837372303009033), ('director_interlocks', 0.438427209854126)]"
21,interlocking,0.24401437,"[('interlocking', 1.0), ('director_interlocks', 0.49176302552223206), ('interlock', 0.4837372303009033)]"
22,joint_venture,0.1908064,"[('joint_venture', 0.9999997615814209), ('diversification', 0.2969609200954437), ('interlock', 0.29481223225593567)]"
23,merge,0.17200632,"[('merge', 0.9999998807907104), ('merged', 0.35488760471343994), ('merger', 0.2761955261230469)]"
24,merged,0.16213244,"[('merged', 0.9999998807907104), ('merger', 0.35935312509536743), ('merge', 0.35488760471343994)]"
25,merger,0.21367666,"[('merger', 1.0), ('merged', 0.35935312509536743), ('diversification', 0.35802167654037476)]"
26,network,0.2931585,"[('network', 0.9999999403953552), ('network', 0.9999999403953552), ('interlocking', 0.4517364501953125)]"
27,network,0.2931585,"[('network', 0.9999999403953552), ('network', 0.9999999403953552), ('interlocking', 0.4517364501953125)]"
