,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.23526989,"[('board_directors', 0.9999997615814209), ('joint_venture', 0.36478590965270996), ('interlocking', 0.36391597986221313)]"
1,buffer,0.15615538,"[('buffer', 1.0), ('pressure', 0.25690069794654846), ('external', 0.2465878129005432)]"
2,coalition,0.24206418,"[('coalition', 1.0), ('cooperate', 0.3455292284488678), ('cooperation', 0.34185248613357544)]"
3,constrain,0.21850707,"[('constrain', 1.0), ('constraint', 0.4169537425041199), ('influence', 0.4065665900707245)]"
4,constraint,0.24213241,"[('constraint', 0.9999997615814209), ('constrain', 0.4169537425041199), ('control', 0.32681918144226074)]"
5,control,0.30290884,"[('control', 1.0), ('power', 0.5359982848167419), ('influence', 0.4983532428741455)]"
6,cooperate,0.22852273,"[('cooperate', 0.9999998211860657), ('cooperation', 0.6699031591415405), ('coalition', 0.3455292284488678)]"
7,cooperation,0.26798525,"[('cooperation', 0.9999998807907104), ('cooperate', 0.6699031591415405), ('interdependence', 0.5235845446586609)]"
8,dependence,0.28229347,"[('dependence', 1.0), ('dependent', 0.5887736082077026), ('interdependence', 0.47718799114227295)]"
9,dependent,0.24515644,"[('dependent', 1.0), ('dependence', 0.5887736082077026), ('interdependent', 0.39549189805984497)]"
10,director_interlocks,0.24734583,"[('director_interlocks', 1.0000001192092896), ('resource_dependence', 0.45688503980636597), ('interlock', 0.44794726371765137)]"
11,diversification,0.24787195,"[('diversification', 0.9999999403953552), ('diversify', 0.5892391204833984), ('merger', 0.4806649088859558)]"
12,diversify,0.24793512,"[('diversify', 1.0), ('diversification', 0.5892391204833984), ('merge', 0.32103389501571655)]"
13,dominance,0.2453276,"[('dominance', 1.0), ('power', 0.4916457235813141), ('interdependence', 0.3591073453426361)]"
14,exchange,0.26691794,"[('exchange', 0.9999999403953552), ('network', 0.44262731075286865), ('network', 0.44262731075286865)]"
15,external,0.27886948,"[('external', 1.0), ('resource_dependence', 0.5138654708862305), ('control', 0.44733431935310364)]"
16,horizontal,0.25160074,"[('horizontal', 1.0000001192092896), ('vertical', 0.8096565008163452), ('interdependence', 0.35589268803596497)]"
17,influence,0.28156206,"[('influence', 0.9999998807907104), ('power', 0.5586655735969543), ('control', 0.4983532428741455)]"
18,interdependence,0.31760788,"[('interdependence', 1.0), ('interdependent', 0.6268453598022461), ('cooperation', 0.5235845446586609)]"
19,interdependent,0.28242478,"[('interdependent', 1.0), ('interdependence', 0.6268453598022461), ('interlocking', 0.4371211528778076)]"
20,interlock,0.23916277,"[('interlock', 1.0), ('interlocking', 0.5410715341567993), ('director_interlocks', 0.44794726371765137)]"
21,interlocking,0.2895326,"[('interlocking', 1.0000001192092896), ('interlock', 0.5410715341567993), ('interdependent', 0.4371211528778076)]"
