,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.2492969,"[('board_directors', 1.0), ('director_interlocks', 0.3823855221271515), ('interlock', 0.3735746145248413)]"
1,buffer,0.1639895,"[('buffer', 0.9999999403953552), ('external', 0.2986469864845276), ('pressure', 0.29111647605895996)]"
2,coalition,0.22594878,"[('coalition', 1.0000001192092896), ('cooperate', 0.36079734563827515), ('cooperation', 0.34516996145248413)]"
3,constrain,0.23067984,"[('constrain', 0.9999998807907104), ('influence', 0.45987293124198914), ('constraint', 0.42804691195487976)]"
4,constraint,0.2436345,"[('constraint', 1.0000001192092896), ('constrain', 0.42804691195487976), ('network', 0.3913898468017578)]"
5,control,0.3210937,"[('control', 0.9999998211860657), ('influence', 0.5555785894393921), ('power', 0.5009723901748657)]"
6,cooperate,0.24782701,"[('cooperate', 1.0000001192092896), ('cooperation', 0.6586781144142151), ('interdependent', 0.37523913383483887)]"
7,cooperation,0.30377945,"[('cooperation', 1.0), ('cooperate', 0.6586781144142151), ('interdependence', 0.5594786405563354)]"
8,dependence,0.29903445,"[('dependence', 0.9999998807907104), ('interdependence', 0.5595159530639648), ('dependent', 0.5505732893943787)]"
9,dependent,0.25377256,"[('dependent', 1.000000238418579), ('dependence', 0.5505732893943787), ('interdependent', 0.44223302602767944)]"
10,director_interlocks,0.24161641,"[('director_interlocks', 0.9999999403953552), ('interlock', 0.5524343252182007), ('board_directors', 0.3823855221271515)]"
11,diversification,0.27306986,"[('diversification', 0.9999999403953552), ('diversify', 0.5346834063529968), ('control', 0.3384990692138672)]"
12,diversify,0.20537129,"[('diversify', 1.0000001192092896), ('diversification', 0.5346834063529968), ('merge', 0.28526052832603455)]"
13,dominance,0.2412337,"[('dominance', 1.0), ('power', 0.5162322521209717), ('dependence', 0.3577198088169098)]"
14,exchange,0.26759273,"[('exchange', 1.0), ('cooperation', 0.49784308671951294), ('interdependence', 0.4159191846847534)]"
15,external,0.30704823,"[('external', 0.9999998211860657), ('influence', 0.47327500581741333), ('control', 0.4527829587459564)]"
16,horizontal,0.26448956,"[('horizontal', 0.9999998807907104), ('vertical', 0.8157654404640198), ('interdependence', 0.40439629554748535)]"
17,influence,0.32477638,"[('influence', 0.9999998807907104), ('control', 0.5555785894393921), ('power', 0.5499494075775146)]"
18,interdependence,0.33396733,"[('interdependence', 1.0), ('interdependent', 0.6942646503448486), ('dependence', 0.5595159530639648)]"
19,interdependent,0.29497656,"[('interdependent', 0.9999996423721313), ('interdependence', 0.6942646503448486), ('interlocking', 0.4536093771457672)]"
20,interlock,0.24009383,"[('interlock', 1.0), ('director_interlocks', 0.5524343252182007), ('interlocking', 0.4042745530605316)]"
21,interlocking,0.25890476,"[('interlocking', 1.0), ('interdependent', 0.4536093771457672), ('interlock', 0.4042745530605316)]"
22,joint_venture,0.26592806,"[('joint_venture', 0.9999998807907104), ('cooperation', 0.4605334997177124), ('merger', 0.38539043068885803)]"
23,merge,0.19795908,"[('merge', 0.9999999403953552), ('merged', 0.704279363155365), ('merger', 0.49434980750083923)]"
24,merged,0.20114884,"[('merged', 0.9999998807907104), ('merge', 0.704279363155365), ('merger', 0.5675815343856812)]"
25,merger,0.2504746,"[('merger', 0.9999998807907104), ('merged', 0.5675815343856812), ('merge', 0.49434980750083923)]"
26,network,0.33089095,"[('network', 0.9999998211860657), ('network', 0.9999998211860657), ('interdependence', 0.41729944944381714)]"
27,network,0.33089095,"[('network', 0.9999998211860657), ('network', 0.9999998211860657), ('interdependence', 0.41729944944381714)]"
28,power,0.32104355,"[('power', 0.9999999403953552), ('influence', 0.5499494075775146), ('dominance', 0.5162322521209717)]"
29,pressure,0.22744486,"[('pressure', 1.0), ('external', 0.41902947425842285), ('influence', 0.401926189661026)]"
30,resource_dependence,0.2945941,"[('resource_dependence', 0.9999998807907104), ('external', 0.4480305016040802), ('dependence', 0.4197292923927307)]"
31,sanction,0.15565969,"[('sanction', 0.9999998807907104), ('cooperate', 0.3296361565589905), ('constrain', 0.26243579387664795)]"
32,vertical,0.28484118,"[('vertical', 0.9999998211860657), ('horizontal', 0.8157655000686646), ('interdependence', 0.4362127482891083)]"
0,networks,0.32389295,"[('network', 0.8574963808059692), ('network', 0.8574963808059692), ('cooperation', 0.4546174108982086)]"
1,relationships,0.31897524,"[('exchange', 0.5478605628013611), ('interdependence', 0.5434327125549316), ('network', 0.5273904800415039)]"
2,ties,0.31368196,"[('network', 0.6974111199378967), ('network', 0.6974111199378967), ('director_interlocks', 0.46253496408462524)]"
3,structure,0.31339547,"[('network', 0.5395288467407227), ('network', 0.5395288467407227), ('control', 0.48596593737602234)]"
4,partners,0.3073683,"[('joint_venture', 0.5388199687004089), ('cooperation', 0.5124273300170898), ('network', 0.4874422550201416)]"
5,inter,0.3065566,"[('cooperation', 0.5468187928199768), ('interdependence', 0.46874797344207764), ('network', 0.4399591386318207)]"
6,com,0.304648,"[('network', 0.5264759659767151), ('network', 0.5264759659767151), ('control', 0.42569318413734436)]"
7,governance,0.3024661,"[('cooperation', 0.47385695576667786), ('control', 0.4687913656234741), ('board_directors', 0.4677233397960663)]"
8,firm,0.3022128,"[('diversification', 0.5623096227645874), ('external', 0.49678608775138855), ('control', 0.4840678572654724)]"
9,relations,0.30220467,"[('exchange', 0.5071995258331299), ('power', 0.49375343322753906), ('interdependence', 0.4684809148311615)]"
10,structures,0.3021074,"[('constrain', 0.4921198785305023), ('power', 0.4650114178657532), ('network', 0.46077990531921387)]"
11,alliances,0.3019715,"[('joint_venture', 0.5962423086166382), ('cooperation', 0.4836565852165222), ('director_interlocks', 0.47899556159973145)]"
12,competition,0.3015914,"[('cooperation', 0.5248966217041016), ('interdependence', 0.4290674924850464), ('network', 0.4217502474784851)]"
13,collaboration,0.29845706,"[('cooperation', 0.6523699760437012), ('interdependence', 0.5336370468139648), ('network', 0.4965188503265381)]"
14,alliance,0.29733354,"[('joint_venture', 0.6263477206230164), ('network', 0.49704164266586304), ('network', 0.49704164266586304)]"
15,coordination,0.29630774,"[('interdependence', 0.6045335531234741), ('cooperation', 0.6009515523910522), ('vertical', 0.47585365176200867)]"
16,strategic,0.29620922,"[('influence', 0.4874671995639801), ('diversification', 0.4677911400794983), ('control', 0.44931474328041077)]"
17,con,0.29401353,"[('control', 0.4866664409637451), ('constraint', 0.44643330574035645), ('network', 0.4380898177623749)]"
18,integration,0.29295847,"[('interdependence', 0.5402165651321411), ('cooperation', 0.48569679260253906), ('diversification', 0.4432898163795471)]"
19,other,0.29262695,"[('influence', 0.5065996646881104), ('external', 0.4788127541542053), ('control', 0.46965551376342773)]"
20,relational,0.29146457,"[('interdependence', 0.5349693298339844), ('network', 0.5210838913917542), ('network', 0.5210838913917542)]"
21,firms,0.28949985,"[('diversification', 0.518657386302948), ('external', 0.4414931833744049), ('control', 0.41960418224334717)]"
22,embedded,0.28831244,"[('interdependent', 0.5064005255699158), ('network', 0.497622549533844), ('network', 0.497622549533844)]"
23,thus,0.28737134,"[('external', 0.4878154993057251), ('influence', 0.4829138219356537), ('control', 0.4735201597213745)]"
24,organizations,0.28652874,"[('external', 0.4791417121887207), ('influence', 0.45950862765312195), ('network', 0.43989279866218567)]"
25,within,0.28648126,"[('influence', 0.4759064316749573), ('control', 0.43999916315078735), ('external', 0.4290817975997925)]"
26,internal,0.28635672,"[('external', 0.8414474725723267), ('control', 0.45742663741111755), ('vertical', 0.4085978865623474)]"
27,formation,0.2862739,"[('influence', 0.45216116309165955), ('cooperation', 0.43144312500953674), ('network', 0.4224144220352173)]"
28,institutional,0.28609854,"[('external', 0.4731530547142029), ('resource_dependence', 0.46947145462036133), ('influence', 0.46702486276626587)]"
29,manage,0.28534907,"[('control', 0.47552812099456787), ('influence', 0.44345423579216003), ('external', 0.3972885012626648)]"
30,relationship,0.28530768,"[('influence', 0.5244329571723938), ('exchange', 0.5175877809524536), ('interdependence', 0.429583877325058)]"
31,form,0.2833433,"[('influence', 0.4142839014530182), ('network', 0.40851661562919617), ('network', 0.40851661562919617)]"
32,organization,0.2833202,"[('external', 0.475162535905838), ('influence', 0.46583300828933716), ('network', 0.4445391297340393)]"
33,resources,0.28276712,"[('external', 0.4771741032600403), ('control', 0.43160176277160645), ('network', 0.42955920100212097)]"
34,also,0.28251967,"[('control', 0.5075736045837402), ('influence', 0.4987742006778717), ('external', 0.4692210555076599)]"
35,resource,0.28228253,"[('resource_dependence', 0.5278565883636475), ('diversification', 0.46283775568008423), ('network', 0.45186537504196167)]"
36,structural,0.2818751,"[('network', 0.5482545495033264), ('network', 0.5482545495033264), ('interdependence', 0.4564031660556793)]"
37,which,0.28104532,"[('control', 0.4759502708911896), ('influence', 0.4579812288284302), ('external', 0.43834131956100464)]"
38,independent,0.28086025,"[('dependent', 0.5763276815414429), ('control', 0.42559874057769775), ('interdependent', 0.419650137424469)]"
39,dynamics,0.28064114,"[('interdependence', 0.46660739183425903), ('influence', 0.4562888741493225), ('network', 0.4304571747779846)]"
40,social,0.27794042,"[('influence', 0.500216007232666), ('external', 0.46071529388427734), ('network', 0.4580472409725189)]"
41,industry,0.27788547,"[('diversification', 0.48920005559921265), ('network', 0.4763990044593811), ('network', 0.4763990044593811)]"
42,joint,0.27770567,"[('interdependence', 0.4886198937892914), ('cooperation', 0.46633461117744446), ('interdependent', 0.43996134400367737)]"
43,both,0.27727053,"[('influence', 0.45249003171920776), ('control', 0.45008575916290283), ('external', 0.4377332925796509)]"
44,complementary,0.27709132,"[('interdependent', 0.4370477795600891), ('interdependence', 0.4013320803642273), ('network', 0.3715320825576782)]"
45,perspective,0.2766444,"[('resource_dependence', 0.5051381587982178), ('influence', 0.47759392857551575), ('external', 0.4327683746814728)]"
46,context,0.2762402,"[('influence', 0.5630172491073608), ('external', 0.41459134221076965), ('interdependence', 0.4135855436325073)]"
47,local,0.2761003,"[('external', 0.47705525159835815), ('network', 0.45264407992362976), ('network', 0.45264407992362976)]"
48,partner,0.2759543,"[('joint_venture', 0.5983405113220215), ('cooperation', 0.45425570011138916), ('exchange', 0.42349445819854736)]"
49,addition,0.2758591,"[('control', 0.4962851107120514), ('influence', 0.48732441663742065), ('external', 0.45975053310394287)]"
50,influences,0.27515125,"[('influence', 0.7744286060333252), ('external', 0.42314574122428894), ('constrain', 0.413671612739563)]"
51,cooperative,0.27497673,"[('cooperation', 0.694539487361908), ('cooperate', 0.499614953994751), ('interdependence', 0.4681299924850464)]"
52,leverage,0.2745777,"[('diversification', 0.4452534317970276), ('external', 0.4166012406349182), ('influence', 0.4158487319946289)]"
53,operations,0.27439138,"[('diversification', 0.4380289316177368), ('joint_venture', 0.4176449179649353), ('control', 0.4086996018886566)]"
54,political,0.27405947,"[('power', 0.48513513803482056), ('influence', 0.48249030113220215), ('control', 0.4140438735485077)]"
55,therefore,0.27336484,"[('influence', 0.4673175513744354), ('external', 0.4668734669685364), ('control', 0.45155107975006104)]"
56,value_creation,0.27332017,"[('network', 0.4162074625492096), ('network', 0.4162074625492096), ('interdependence', 0.41604381799697876)]"
57,market,0.27330387,"[('diversification', 0.5015703439712524), ('network', 0.4374883770942688), ('network', 0.4374883770942688)]"
58,strategic_alliances,0.27276754,"[('joint_venture', 0.6422699093818665), ('cooperation', 0.5450048446655273), ('director_interlocks', 0.40847456455230713)]"
59,bargaining_power,0.27238598,"[('power', 0.5014529228210449), ('joint_venture', 0.45833542943000793), ('dependence', 0.439109206199646)]"
60,among,0.2722203,"[('influence', 0.47625428438186646), ('network', 0.42790836095809937), ('network', 0.42790836095809937)]"
61,dyadic,0.2717696,"[('interdependence', 0.5224689245223999), ('network', 0.451236367225647), ('network', 0.451236367225647)]"
62,strategy,0.27106193,"[('diversification', 0.5315362811088562), ('network', 0.44405317306518555), ('network', 0.44405317306518555)]"
63,corporate,0.27094772,"[('diversification', 0.49499619007110596), ('external', 0.45316699147224426), ('influence', 0.4330400824546814)]"
64,multinational,0.27063254,"[('joint_venture', 0.5615880489349365), ('diversification', 0.47690194845199585), ('interdependence', 0.3714295029640198)]"
65,operate,0.27034652,"[('constrain', 0.44868767261505127), ('influence', 0.40510106086730957), ('interlocking', 0.37702226638793945)]"
66,mutual,0.270267,"[('cooperation', 0.5557459592819214), ('interdependence', 0.5451050400733948), ('interdependent', 0.443864643573761)]"
67,embed,0.27024066,"[('network', 0.49600017070770264), ('network', 0.49600017070770264), ('interdependent', 0.4007023572921753)]"
68,mutual_dependence,0.26944563,"[('interdependence', 0.5424144864082336), ('dependence', 0.5185426473617554), ('resource_dependence', 0.4775737524032593)]"
69,effects,0.26943102,"[('influence', 0.6639470458030701), ('control', 0.5383104681968689), ('network', 0.3903815746307373)]"
70,profitability,0.26927742,"[('diversification', 0.5713958740234375), ('control', 0.4228099584579468), ('merger', 0.37503722310066223)]"
71,mechanisms,0.2692735,"[('external', 0.45874395966529846), ('control', 0.4446060061454773), ('influence', 0.43585044145584106)]"
72,performance,0.26896217,"[('diversification', 0.5017407536506653), ('control', 0.49608591198921204), ('influence', 0.47296565771102905)]"
73,operating,0.26879647,"[('control', 0.41427502036094666), ('external', 0.3826630115509033), ('diversification', 0.3821723163127899)]"
74,agency,0.2686526,"[('board_directors', 0.46349674463272095), ('resource_dependence', 0.426778644323349), ('control', 0.4070521593093872)]"
75,markets,0.26856038,"[('diversification', 0.4970301389694214), ('network', 0.4197351336479187), ('network', 0.4197351336479187)]"
76,instance,0.26805884,"[('influence', 0.4348108768463135), ('external', 0.4050602316856384), ('constrain', 0.3819999098777771)]"
77,linkages,0.26797554,"[('interdependence', 0.522668719291687), ('interdependent', 0.44922131299972534), ('network', 0.440765380859375)]"
78,foreign,0.26778102,"[('joint_venture', 0.582546591758728), ('diversification', 0.44566547870635986), ('external', 0.436085045337677)]"
79,alliance_partners,0.26736167,"[('joint_venture', 0.4798840284347534), ('director_interlocks', 0.39908504486083984), ('external', 0.3958324193954468)]"
80,through,0.26680347,"[('influence', 0.49415308237075806), ('external', 0.43574395775794983), ('control', 0.43283867835998535)]"
81,capital,0.26630583,"[('network', 0.45997557044029236), ('network', 0.45997557044029236), ('control', 0.4210042953491211)]"
82,trust,0.2656863,"[('cooperation', 0.6061409711837769), ('exchange', 0.4936057925224304), ('cooperate', 0.43455541133880615)]"
83,strategies,0.26564834,"[('diversification', 0.4630570411682129), ('influence', 0.44209492206573486), ('external', 0.39499756693840027)]"
84,hence,0.26551104,"[('constraint', 0.4671252965927124), ('external', 0.41857922077178955), ('dependent', 0.38001641631126404)]"
85,economic,0.26544723,"[('cooperation', 0.47169286012649536), ('diversification', 0.41755878925323486), ('exchange', 0.3982413411140442)]"
86,however,0.26528007,"[('influence', 0.46628338098526), ('control', 0.45488202571868896), ('external', 0.4192829728126526)]"
87,established,0.26496634,"[('external', 0.4128507971763611), ('network', 0.3773435354232788), ('network', 0.3773435354232788)]"
88,hierarchical,0.2643481,"[('vertical', 0.49187302589416504), ('interdependence', 0.45592567324638367), ('horizontal', 0.4464462399482727)]"
89,financial,0.26418358,"[('diversification', 0.4755849540233612), ('external', 0.4364161491394043), ('control', 0.3948974013328552)]"
