,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.2944936,"[('board_directors', 1.0), ('interlock', 0.46929073333740234), ('director_interlocks', 0.4035986661911011)]"
1,buffer,0.18257347,"[('buffer', 1.0), ('external', 0.31124812364578247), ('control', 0.28565913438796997)]"
2,coalition,0.25437006,"[('coalition', 0.9999997615814209), ('cooperate', 0.42864686250686646), ('cooperation', 0.40908658504486084)]"
3,constrain,0.2597811,"[('constrain', 1.0), ('influence', 0.453023761510849), ('constraint', 0.43483394384384155)]"
4,constraint,0.26579344,"[('constraint', 1.0), ('constrain', 0.43483394384384155), ('dependence', 0.379597008228302)]"
5,control,0.3440612,"[('control', 1.0), ('influence', 0.5924256443977356), ('external', 0.510196328163147)]"
6,cooperate,0.28156802,"[('cooperate', 1.0), ('cooperation', 0.6804056167602539), ('interdependent', 0.4366203248500824)]"
7,cooperation,0.34879002,"[('cooperation', 1.0000001192092896), ('cooperate', 0.6804056167602539), ('interdependence', 0.6428204774856567)]"
8,dependence,0.34187016,"[('dependence', 0.9999998807907104), ('dependent', 0.6042468547821045), ('interdependence', 0.5695813894271851)]"
9,dependent,0.27499378,"[('dependent', 1.0), ('dependence', 0.6042468547821045), ('interdependent', 0.48935168981552124)]"
10,director_interlock,0.27785778,"[('director_interlock', 0.9999999403953552), ('director_interlocks', 0.5677369832992554), ('interlock', 0.5511364936828613)]"
11,director_interlocks,0.30724794,"[('director_interlocks', 0.9999998807907104), ('interlock', 0.6260641813278198), ('director_interlock', 0.5677369832992554)]"
12,diversification,0.31958804,"[('diversification', 1.000000238418579), ('diversify', 0.5773887634277344), ('merger', 0.5092218518257141)]"
13,diversify,0.25744385,"[('diversify', 1.0000001192092896), ('diversification', 0.5773887634277344), ('merge', 0.33722981810569763)]"
14,dominance,0.26199162,"[('dominance', 1.0), ('dependence', 0.43538784980773926), ('interdependence', 0.35531729459762573)]"
15,exchange,0.30820903,"[('exchange', 1.0), ('cooperation', 0.5268779993057251), ('interdependence', 0.46011674404144287)]"
16,external,0.3292471,"[('external', 0.9999999403953552), ('resource_dependence', 0.5121456384658813), ('control', 0.510196328163147)]"
