,term,cosine_sim_with_core, closest_terms_from_core
0,ceremonial,0.19558063,"[('ceremonial', 1.0), ('ritual', 0.5557830929756165), ('loosely_coupled', 0.3164962828159332)]"
1,coercion,0.20636836,"[('coercion', 1.0), ('coercive', 0.5829427242279053), ('legitimacy', 0.33202195167541504)]"
2,coercive,0.24105853,"[('coercive', 1.0), ('coercion', 0.5829427242279053), ('normative', 0.43328505754470825)]"
3,conform,0.21482638,"[('conform', 0.9999998211860657), ('norms', 0.4450582265853882), ('norm', 0.4092656075954437)]"
4,conformity,0.23633677,"[('conformity', 1.000000238418579), ('norms', 0.5324293375015259), ('norm', 0.4442887604236603)]"
5,cultural,0.2618761,"[('cultural', 1.0), ('institutional', 0.4700193405151367), ('norms', 0.4476274847984314)]"
6,decoupled,0.17240918,"[('decoupled', 1.0), ('normative', 0.25061410665512085), ('rationalized', 0.23535077273845673)]"
7,diffuse,0.20872644,"[('diffuse', 1.0), ('legitimacy', 0.3344089984893799), ('norms', 0.33042728900909424)]"
8,diffusion,0.19102167,"[('diffusion', 1.0000001192092896), ('innovation', 0.5762572884559631), ('cultural', 0.3796851634979248)]"
9,imitate,0.1517328,"[('imitate', 1.0), ('imitation', 0.4182334542274475), ('conform', 0.26626694202423096)]"
10,imitation,0.19186394,"[('imitation', 0.9999999403953552), ('imitate', 0.4182334542274475), ('diffusion', 0.3294990062713623)]"
11,innovation,0.21648762,"[('innovation', 1.0), ('diffusion', 0.5762572884559631), ('institutional', 0.34980666637420654)]"
12,institutional,0.26860863,"[('institutional', 1.0), ('cultural', 0.4700193405151367), ('institutionalization', 0.46535301208496094)]"
13,institutionalize,0.20669974,"[('institutionalize', 1.0), ('legitimate', 0.32053878903388977), ('legitimacy', 0.2966444492340088)]"
14,institutionalization,0.23698366,"[('institutionalization', 0.9999998211860657), ('institutional', 0.46535301208496094), ('legitimacy', 0.3289536237716675)]"
15,isomorphic,0.16810147,"[('isomorphic', 0.9999999403953552), ('taken_granted', 0.2865391671657562), ('conform', 0.24447423219680786)]"
16,legitimacy,0.2543173,"[('legitimacy', 1.0000001192092896), ('legitimate', 0.5667808651924133), ('norms', 0.38040870428085327)]"
17,legitimate,0.27821252,"[('legitimate', 1.0), ('legitimacy', 0.5667808651924133), ('coercive', 0.3997945785522461)]"
18,loosely_coupled,0.16174367,"[('loosely_coupled', 0.9999998211860657), ('ceremonial', 0.3164962828159332), ('organizational_field', 0.24635088443756104)]"
