,term,cosine_sim_with_core, closest_terms_from_core
0,accountability,0.1428579,"[('accountability', 1.0), ('legitimacy', 0.34071749448776245), ('organizational_form', 0.25618812441825867)]"
1,carrying_capacity,0.22150852,"[('carrying_capacity', 0.9999999403953552), ('ecological', 0.3867432177066803), ('survival', 0.32338762283325195)]"
2,chance_survival,0.13787161,"[('chance_survival', 1.0), ('survival', 0.31660932302474976), ('organizational_form', 0.2402864396572113)]"
3,competition,0.20754527,"[('competition', 1.0), ('niche', 0.3234180808067322), ('survival', 0.3169482350349426)]"
4,death_rate,0.17303175,"[('death_rate', 1.0), ('population', 0.47248369455337524), ('populations', 0.33628812432289124)]"
5,density,0.15552014,"[('density', 1.0), ('population', 0.38881200551986694), ('populations', 0.318893700838089)]"
6,ecological,0.24811177,"[('ecological', 1.0), ('ecology', 0.5304547548294067), ('evolution', 0.4002000093460083)]"
7,ecology,0.23782226,"[('ecology', 0.9999999403953552), ('ecological', 0.5304547548294067), ('evolution', 0.40365591645240784)]"
8,evolution,0.2736183,"[('evolution', 1.0), ('evolutionary', 0.7414820194244385), ('natural_selection', 0.5854550004005432)]"
9,evolutionary,0.24557178,"[('evolutionary', 0.9999999403953552), ('evolution', 0.7414820194244385), ('natural_selection', 0.5506810545921326)]"
10,failure_rate,0.113699414,"[('failure_rate', 0.9999999403953552), ('death_rate', 0.20997516810894012), ('population', 0.17040657997131348)]"
11,fitness,0.20040049,"[('fitness', 0.9999999403953552), ('natural_selection', 0.43950849771499634), ('survival', 0.33765697479248047)]"
12,generalist,0.16953371,"[('generalist', 1.0), ('specialist', 0.4346293807029724), ('organizational_form', 0.2749372720718384)]"
13,inertia,0.16096126,"[('inertia', 1.0), ('evolutionary', 0.2564401924610138), ('structural_inertia', 0.2559763193130493)]"
14,inertial,0.12019242,"[('inertial', 0.9999996423721313), ('inertia', 0.2510661780834198), ('structural_inertia', 0.19486196339130402)]"
15,legitimacy,0.17528674,"[('legitimacy', 1.0000001192092896), ('legitimate', 0.5667808651924133), ('accountability', 0.34071749448776245)]"
16,legitimate,0.15316388,"[('legitimate', 1.0), ('legitimacy', 0.5667808651924133), ('accountability', 0.2552764117717743)]"
17,natural_selection,0.2339475,"[('natural_selection', 1.0), ('evolution', 0.5854550004005432), ('evolutionary', 0.5506810545921326)]"
18,niche,0.19736247,"[('niche', 0.9999999403953552), ('competition', 0.3234180808067322), ('ecology', 0.29346218705177307)]"
19,organizational_form,0.20751795,"[('organizational_form', 1.0), ('evolution', 0.33908772468566895), ('niche', 0.27996593713760376)]"
20,population,0.22463033,"[('population', 0.9999998211860657), ('populations', 0.6759159564971924), ('death_rate', 0.47248369455337524)]"
21,populations,0.23127535,"[('populations', 0.9999998807907104), ('population', 0.6759159564971924), ('ecological', 0.3887907564640045)]"
22,reliability,0.12910618,"[('reliability', 1.000000238418579), ('selection', 0.23903164267539978), ('populations', 0.20355172455310822)]"
23,resistance_change,0.14934424,"[('resistance_change', 0.9999999403953552), ('inertia', 0.2436240166425705), ('ecological', 0.21197912096977234)]"
24,selection,0.20356776,"[('selection', 1.0), ('natural_selection', 0.3911701440811157), ('evolution', 0.33760005235671997)]"
25,specialism,0.14206162,"[('specialism', 0.9999997019767761), ('specialist', 0.2549000084400177), ('generalist', 0.22778195142745972)]"
26,specialist,0.15204138,"[('specialist', 1.0), ('generalist', 0.4346293807029724), ('specialism', 0.2549000084400177)]"
27,structural_inertia,0.18294665,"[('structural_inertia', 0.9999999403953552), ('carrying_capacity', 0.31728124618530273), ('survival', 0.27716270089149475)]"
28,survival,0.25391304,"[('survival', 0.9999998807907104), ('evolution', 0.38052108883857727), ('natural_selection', 0.3772768974304199)]"
0,accountability,0.1428579,"[('accountability', 1.0), ('legitimacy', 0.34071749448776245), ('organizational_form', 0.25618812441825867)]"
1,adaptation,0.23009548,"[('survival', 0.48031526803970337), ('evolution', 0.4757506847381592), ('evolutionary', 0.40588706731796265)]"
2,adaptive,0.21049048,"[('evolutionary', 0.4403058588504791), ('evolution', 0.3921636939048767), ('survival', 0.3770524263381958)]"
3,carrying_capacities,0.15991236,"[('carrying_capacity', 0.47772589325904846), ('structural_inertia', 0.32363229990005493), ('ecological', 0.2824346721172333)]"
4,carrying_capacity,0.22150852,"[('carrying_capacity', 0.9999999403953552), ('ecological', 0.3867432177066803), ('survival', 0.32338762283325195)]"
5,death_rate,0.17303175,"[('death_rate', 1.0), ('population', 0.47248369455337524), ('populations', 0.33628812432289124)]"
6,density,0.15552014,"[('density', 1.0), ('population', 0.38881200551986694), ('populations', 0.318893700838089)]"
7,densities,0.1537865,"[('density', 0.6055494546890259), ('populations', 0.33735233545303345), ('population', 0.3120855987071991)]"
8,ecological,0.24811177,"[('ecological', 1.0), ('ecology', 0.5304547548294067), ('evolution', 0.4002000093460083)]"
9,ecologists,0.14263429,"[('ecological', 0.4492873251438141), ('ecology', 0.4152356684207916), ('evolutionary', 0.25882473587989807)]"
10,ecology,0.23782226,"[('ecology', 0.9999999403953552), ('ecological', 0.5304547548294067), ('evolution', 0.40365591645240784)]"
11,ecosystem,0.20585455,"[('ecological', 0.4745718836784363), ('carrying_capacity', 0.4699931740760803), ('ecology', 0.40624141693115234)]"
12,ecosystems,0.18101713,"[('ecological', 0.3507370352745056), ('evolution', 0.34340086579322815), ('carrying_capacity', 0.33213865756988525)]"
13,entry_exit,0.09874305,"[('competition', 0.2532406151294708), ('niche', 0.21987149119377136), ('structural_inertia', 0.18962183594703674)]"
14,equilibrium,0.1762857,"[('inertia', 0.334822416305542), ('competition', 0.3275260031223297), ('carrying_capacity', 0.31598562002182007)]"
15,evolution,0.2736183,"[('evolution', 1.0), ('evolutionary', 0.7414820194244385), ('natural_selection', 0.5854550004005432)]"
16,evolutionary,0.24557178,"[('evolutionary', 0.9999999403953552), ('evolution', 0.7414820194244385), ('natural_selection', 0.5506810545921326)]"
17,evolve,0.17825451,"[('evolution', 0.46182137727737427), ('evolutionary', 0.3571670651435852), ('survival', 0.2950610816478729)]"
18,evolving,0.20069423,"[('evolution', 0.5517117977142334), ('evolutionary', 0.4458717107772827), ('natural_selection', 0.28616827726364136)]"
19,expansion_contraction,0.14420435,"[('evolution', 0.28053486347198486), ('carrying_capacity', 0.2767593264579773), ('niche', 0.25279685854911804)]"
20,extinction,0.18347704,"[('survival', 0.4140446186065674), ('evolution', 0.4049222469329834), ('natural_selection', 0.37572693824768066)]"
21,failure_rate,0.113699414,"[('failure_rate', 0.9999999403953552), ('death_rate', 0.20997516810894012), ('population', 0.17040657997131348)]"
22,fitness,0.20040049,"[('fitness', 0.9999999403953552), ('natural_selection', 0.43950849771499634), ('survival', 0.33765697479248047)]"
23,fittest,0.16971794,"[('fitness', 0.41981369256973267), ('natural_selection', 0.3988614082336426), ('survival', 0.3632224202156067)]"
24,founding,0.11548573,"[('evolution', 0.29349058866500854), ('organizational_form', 0.27646133303642273), ('legitimate', 0.25233858823776245)]"
25,generalist,0.16953371,"[('generalist', 1.0), ('specialist', 0.4346293807029724), ('organizational_form', 0.2749372720718384)]"
26,inertia,0.16096126,"[('inertia', 1.0), ('evolutionary', 0.2564401924610138), ('structural_inertia', 0.2559763193130493)]"
27,inertial,0.12019242,"[('inertial', 0.9999996423721313), ('inertia', 0.2510661780834198), ('structural_inertia', 0.19486196339130402)]"
28,legitimacy,0.17528674,"[('legitimacy', 1.0000001192092896), ('legitimate', 0.5667808651924133), ('accountability', 0.34071749448776245)]"
29,legitimate,0.15316388,"[('legitimate', 1.0), ('legitimacy', 0.5667808651924133), ('accountability', 0.2552764117717743)]"
30,mortality,0.17952147,"[('death_rate', 0.6157354712486267), ('population', 0.4937438368797302), ('populations', 0.4253308176994324)]"
31,niche,0.19736247,"[('niche', 0.9999999403953552), ('competition', 0.3234180808067322), ('ecology', 0.29346218705177307)]"
32,niches,0.16656654,"[('niche', 0.6072902083396912), ('competition', 0.3148820102214813), ('survival', 0.2990814447402954)]"
33,obsolescence,0.14652863,"[('generalist', 0.3291131258010864), ('carrying_capacity', 0.22169670462608337), ('evolution', 0.2209387570619583)]"
34,organizational_change,0.1887533,"[('resistance_change', 0.37331461906433105), ('ecological', 0.3348994851112366), ('natural_selection', 0.3187565207481384)]"
35,organizational_form,0.20751795,"[('organizational_form', 1.0), ('evolution', 0.33908772468566895), ('niche', 0.27996593713760376)]"
36,organizational_forms,0.19247499,"[('organizational_form', 0.48115089535713196), ('evolution', 0.40300458669662476), ('natural_selection', 0.35601097345352173)]"
37,population,0.22463033,"[('population', 0.9999998211860657), ('populations', 0.6759159564971924), ('death_rate', 0.47248369455337524)]"
38,populations,0.23127535,"[('populations', 0.9999998807907104), ('population', 0.6759159564971924), ('ecological', 0.3887907564640045)]"
39,resistance_change,0.14934424,"[('resistance_change', 0.9999999403953552), ('inertia', 0.2436240166425705), ('ecological', 0.21197912096977234)]"
40,selection,0.20356776,"[('selection', 1.0), ('natural_selection', 0.3911701440811157), ('evolution', 0.33760005235671997)]"
41,selective_retention,0.17006794,"[('evolution', 0.33326706290245056), ('natural_selection', 0.3250541090965271), ('evolutionary', 0.31350207328796387)]"
42,specialism,0.14206162,"[('specialism', 0.9999997019767761), ('specialist', 0.2549000084400177), ('generalist', 0.22778195142745972)]"
43,specialist,0.15204138,"[('specialist', 1.0), ('generalist', 0.4346293807029724), ('specialism', 0.2549000084400177)]"
44,specialization,0.17760144,"[('specialist', 0.35717421770095825), ('competition', 0.3052949905395508), ('generalist', 0.28594374656677246)]"
45,species,0.2111008,"[('natural_selection', 0.5467721819877625), ('evolution', 0.5144667625427246), ('evolutionary', 0.4739070534706116)]"
46,steady_state,0.17475416,"[('carrying_capacity', 0.3162016272544861), ('ecology', 0.29324477910995483), ('population', 0.28559738397598267)]"
47,succession,0.182345,"[('evolution', 0.3844250440597534), ('evolutionary', 0.37952929735183716), ('ecological', 0.284329354763031)]"
48,survival,0.25391304,"[('survival', 0.9999998807907104), ('evolution', 0.38052108883857727), ('natural_selection', 0.3772768974304199)]"
49,survive,0.20789109,"[('survival', 0.6057037711143494), ('niche', 0.34686020016670227), ('evolution', 0.3180299401283264)]"
