,term,cosine_sim_with_core, closest_terms_from_core
0,accountability,0.1712055,"[('accountability', 1.0), ('legitimacy', 0.4362875521183014), ('legitimate', 0.30974119901657104)]"
1,carrying_capacity,0.28269014,"[('carrying_capacity', 0.9999998807907104), ('ecological', 0.46149447560310364), ('density', 0.4361685812473297)]"
2,chance_survival,0.19023536,"[('chance_survival', 1.0), ('survival', 0.35824447870254517), ('natural_selection', 0.3109509348869324)]"
3,competition,0.29754198,"[('competition', 1.000000238418579), ('niche', 0.45393499732017517), ('evolution', 0.43516644835472107)]"
4,death_rate,0.15555656,"[('death_rate', 1.0), ('population', 0.38298308849334717), ('survival', 0.2846720814704895)]"
5,density,0.28919518,"[('density', 0.9999999403953552), ('failure_rate', 0.4653545618057251), ('population', 0.46336662769317627)]"
6,ecological,0.2855078,"[('ecological', 1.0000001192092896), ('ecology', 0.7464244365692139), ('carrying_capacity', 0.46149447560310364)]"
7,ecology,0.3064207,"[('ecology', 0.9999999403953552), ('ecological', 0.7464244365692139), ('evolution', 0.5514137744903564)]"
8,evolution,0.3378062,"[('evolution', 0.9999999403953552), ('evolutionary', 0.7407130002975464), ('ecology', 0.5514137744903564)]"
9,evolutionary,0.29646328,"[('evolutionary', 0.9999996423721313), ('evolution', 0.7407130002975464), ('natural_selection', 0.6810648441314697)]"
10,failure_rate,0.22550093,"[('failure_rate', 0.9999999403953552), ('density', 0.4653545618057251), ('competition', 0.32135069370269775)]"
11,fitness,0.2421011,"[('fitness', 0.9999998211860657), ('natural_selection', 0.42660170793533325), ('evolutionary', 0.3696904480457306)]"
12,generalist,0.23209329,"[('generalist', 1.0000001192092896), ('specialist', 0.6531674861907959), ('niche', 0.5266430974006653)]"
13,inertia,0.27704182,"[('inertia', 1.0), ('inertial', 0.5706964135169983), ('structural_inertia', 0.5089569091796875)]"
14,inertial,0.214255,"[('inertial', 1.0), ('inertia', 0.5706964135169983), ('structural_inertia', 0.41533172130584717)]"
15,legitimacy,0.3043794,"[('legitimacy', 1.0), ('legitimate', 0.6487448811531067), ('organizational_form', 0.47092199325561523)]"
16,legitimate,0.21677329,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.6487448811531067), ('organizational_form', 0.34594792127609253)]"
17,natural_selection,0.23879157,"[('natural_selection', 1.0), ('evolutionary', 0.6810648441314697), ('evolution', 0.5155097246170044)]"
18,niche,0.30686185,"[('niche', 0.9999998807907104), ('generalist', 0.5266430974006653), ('organizational_form', 0.4574597477912903)]"
19,organizational_form,0.32322466,"[('organizational_form', 0.9999998807907104), ('legitimacy', 0.47092199325561523), ('niche', 0.4574597477912903)]"
20,population,0.2675626,"[('population', 1.0), ('populations', 0.6617927551269531), ('density', 0.46336662769317627)]"
21,populations,0.2550247,"[('populations', 1.0000001192092896), ('population', 0.6617927551269531), ('ecological', 0.3775732219219208)]"
22,reliability,0.1813,"[('reliability', 0.9999998807907104), ('selection', 0.32331204414367676), ('legitimacy', 0.24959087371826172)]"
23,resistance_change,0.19364232,"[('resistance_change', 1.0), ('inertia', 0.4131544232368469), ('structural_inertia', 0.36112603545188904)]"
