,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.25075328,"[('board_directors', 1.0), ('interlock', 0.36221104860305786), ('merger', 0.3564710021018982)]"
1,buffer,0.15780166,"[('buffer', 1.0), ('control', 0.2764893174171448), ('external', 0.27240270376205444)]"
2,coalition,0.22565727,"[('coalition', 0.9999999403953552), ('cooperation', 0.3528822660446167), ('board_directors', 0.32888901233673096)]"
3,constrain,0.23097573,"[('constrain', 1.0), ('influence', 0.42979997396469116), ('constraint', 0.39126765727996826)]"
4,constraint,0.23852195,"[('constraint', 0.9999998807907104), ('constrain', 0.39126765727996826), ('dependence', 0.3212340176105499)]"
5,control,0.30656508,"[('control', 1.0), ('influence', 0.539639949798584), ('external', 0.4377426505088806)]"
6,cooperate,0.23720215,"[('cooperate', 1.0), ('cooperation', 0.652873158454895), ('merge', 0.3475339114665985)]"
7,cooperation,0.31084168,"[('cooperation', 1.0000001192092896), ('cooperate', 0.652873158454895), ('interdependence', 0.5931037664413452)]"
8,dependence,0.27824056,"[('dependence', 0.9999998807907104), ('dependent', 0.5880993604660034), ('interdependence', 0.4406949281692505)]"
9,dependent,0.2298532,"[('dependent', 1.0000001192092896), ('dependence', 0.5880993604660034), ('interdependent', 0.4230368137359619)]"
10,director_interlocks,0.24511494,"[('director_interlocks', 0.9999998211860657), ('interlock', 0.4450061321258545), ('influence', 0.3708748519420624)]"
11,diversification,0.27168763,"[('diversification', 1.0), ('diversify', 0.5757710933685303), ('merger', 0.43169257044792175)]"
12,diversify,0.235395,"[('diversify', 1.0), ('diversification', 0.5757710933685303), ('merge', 0.308508038520813)]"
13,dominance,0.22950812,"[('dominance', 1.000000238418579), ('dependence', 0.4080445468425751), ('influence', 0.3296416699886322)]"
14,exchange,0.2736348,"[('exchange', 0.9999998807907104), ('cooperation', 0.46018028259277344), ('interdependence', 0.39049461483955383)]"
15,external,0.29022413,"[('external', 0.9999997615814209), ('resource_dependence', 0.47198960185050964), ('control', 0.4377426505088806)]"
16,horizontal,0.28259414,"[('horizontal', 1.0), ('vertical', 0.8164341449737549), ('interdependence', 0.4223831593990326)]"
17,influence,0.31972924,"[('influence', 1.0), ('control', 0.539639949798584), ('external', 0.431670606136322)]"
18,interdependence,0.32297975,"[('interdependence', 0.9999999403953552), ('interdependent', 0.6984868049621582), ('cooperation', 0.5931037664413452)]"
19,interdependent,0.27630714,"[('interdependent', 0.9999997019767761), ('interdependence', 0.6984868049621582), ('dependent', 0.4230368137359619)]"
20,interlock,0.2607502,"[('interlock', 0.9999997615814209), ('interlocking', 0.45881667733192444), ('director_interlocks', 0.4450061321258545)]"
21,interlocking,0.25447544,"[('interlocking', 1.0), ('interlock', 0.45881667733192444), ('resource_dependence', 0.4304240942001343)]"
22,joint_venture,0.25870734,"[('joint_venture', 1.0000001192092896), ('cooperation', 0.42291489243507385), ('merger', 0.3733293414115906)]"
23,merge,0.23450628,"[('merge', 1.0), ('merged', 0.5718948245048523), ('merger', 0.5048785209655762)]"
24,merged,0.19623412,"[('merged', 0.9999997615814209), ('merge', 0.5718948245048523), ('merger', 0.5354484915733337)]"
25,merger,0.2804655,"[('merger', 1.0), ('merged', 0.5354484915733337), ('merge', 0.5048785209655762)]"
26,resource_dependence,0.3081637,"[('resource_dependence', 0.9999998807907104), ('external', 0.47198960185050964), ('interlocking', 0.4304240942001343)]"
27,sanction,0.18761878,"[('sanction', 0.9999999403953552), ('cooperate', 0.329739511013031), ('cooperation', 0.29919883608818054)]"
28,vertical,0.28546602,"[('vertical', 1.0), ('horizontal', 0.8164341449737549), ('diversification', 0.3853456974029541)]"
0,acquisition,0.27639684,"[('merger', 0.5651440620422363), ('joint_venture', 0.4974963665008545), ('diversification', 0.48253926634788513)]"
1,acquisitions,0.25990903,"[('merger', 0.6002286672592163), ('diversification', 0.5382306575775146), ('joint_venture', 0.4700867533683777)]"
2,alliance,0.28973535,"[('joint_venture', 0.5910292863845825), ('coalition', 0.48434770107269287), ('cooperation', 0.462361216545105)]"
3,alliances,0.29202834,"[('joint_venture', 0.5889792442321777), ('cooperation', 0.49465686082839966), ('interdependence', 0.42702972888946533)]"
4,board_directors,0.25075328,"[('board_directors', 1.0), ('interlock', 0.36221104860305786), ('merger', 0.3564710021018982)]"
5,board_interlocks,0.25579762,"[('director_interlocks', 0.54166179895401), ('interlock', 0.5346825122833252), ('resource_dependence', 0.4641883969306946)]"
6,boards_directors,0.24881771,"[('board_directors', 0.693463146686554), ('resource_dependence', 0.4683253765106201), ('director_interlocks', 0.40847456455230713)]"
7,coalition,0.22565727,"[('coalition', 0.9999999403953552), ('cooperation', 0.3528822660446167), ('board_directors', 0.32888901233673096)]"
8,coalitions,0.24904518,"[('coalition', 0.7538400888442993), ('cooperation', 0.4271976351737976), ('cooperate', 0.36286118626594543)]"
9,collaboration,0.27982143,"[('cooperation', 0.6808446645736694), ('interdependence', 0.4895871877670288), ('cooperate', 0.43181076645851135)]"
10,connections,0.23222362,"[('interlocking', 0.42485368251800537), ('horizontal', 0.3526732325553894), ('director_interlocks', 0.3279624581336975)]"
11,constrain,0.23097573,"[('constrain', 1.0), ('influence', 0.42979997396469116), ('constraint', 0.39126765727996826)]"
12,constraint,0.23852195,"[('constraint', 0.9999998807907104), ('constrain', 0.39126765727996826), ('dependence', 0.3212340176105499)]"
13,control,0.30656508,"[('control', 1.0), ('influence', 0.539639949798584), ('external', 0.4377426505088806)]"
14,cooperate,0.23720215,"[('cooperate', 1.0), ('cooperation', 0.652873158454895), ('merge', 0.3475339114665985)]"
15,cooperation,0.31084168,"[('cooperation', 1.0000001192092896), ('cooperate', 0.652873158454895), ('interdependence', 0.5931037664413452)]"
16,cooperative,0.27224994,"[('cooperation', 0.7019381523132324), ('cooperate', 0.5527472496032715), ('interdependence', 0.48217064142227173)]"
17,decentralized,0.23651028,"[('vertical', 0.41424092650413513), ('horizontal', 0.40661942958831787), ('interdependent', 0.3889894187450409)]"
18,dependence,0.27824056,"[('dependence', 0.9999998807907104), ('dependent', 0.5880993604660034), ('interdependence', 0.4406949281692505)]"
19,dependencies,0.25005645,"[('interdependence', 0.5179963111877441), ('dependence', 0.4873172640800476), ('interdependent', 0.42415258288383484)]"
20,dependent,0.2298532,"[('dependent', 1.0000001192092896), ('dependence', 0.5880993604660034), ('interdependent', 0.4230368137359619)]"
21,diversification,0.27168763,"[('diversification', 1.0), ('diversify', 0.5757710933685303), ('merger', 0.43169257044792175)]"
22,diversify,0.235395,"[('diversify', 1.0), ('diversification', 0.5757710933685303), ('merge', 0.308508038520813)]"
23,dominance,0.22950812,"[('dominance', 1.000000238418579), ('dependence', 0.4080445468425751), ('influence', 0.3296416699886322)]"
24,exchange,0.2736348,"[('exchange', 0.9999998807907104), ('cooperation', 0.46018028259277344), ('interdependence', 0.39049461483955383)]"
25,external,0.29022413,"[('external', 0.9999997615814209), ('resource_dependence', 0.47198960185050964), ('control', 0.4377426505088806)]"
26,flows,0.24892443,"[('vertical', 0.4325990378856659), ('exchange', 0.40461045503616333), ('horizontal', 0.39906418323516846)]"
27,governance_mechanisms,0.25129613,"[('cooperation', 0.4088706374168396), ('board_directors', 0.3939608335494995), ('director_interlocks', 0.35251373052597046)]"
28,governance_structures,0.27168354,"[('resource_dependence', 0.4231422245502472), ('vertical', 0.38184642791748047), ('cooperation', 0.38047727942466736)]"
29,horizontal,0.28259414,"[('horizontal', 1.0), ('vertical', 0.8164341449737549), ('interdependence', 0.4223831593990326)]"
30,influence,0.31972924,"[('influence', 1.0), ('control', 0.539639949798584), ('external', 0.431670606136322)]"
31,interdependence,0.32297975,"[('interdependence', 0.9999999403953552), ('interdependent', 0.6984868049621582), ('cooperation', 0.5931037664413452)]"
32,interdependent,0.27630714,"[('interdependent', 0.9999997019767761), ('interdependence', 0.6984868049621582), ('dependent', 0.4230368137359619)]"
33,interlock,0.2607502,"[('interlock', 0.9999997615814209), ('interlocking', 0.45881667733192444), ('director_interlocks', 0.4450061321258545)]"
34,interlocking,0.25447544,"[('interlocking', 1.0), ('interlock', 0.45881667733192444), ('resource_dependence', 0.4304240942001343)]"
35,interlocks,0.25998133,"[('interlock', 0.6737971305847168), ('director_interlocks', 0.5845274925231934), ('interlocking', 0.4844943881034851)]"
36,interorganizational_networks,skip,skip
37,joint_venture,0.25870734,"[('joint_venture', 1.0000001192092896), ('cooperation', 0.42291489243507385), ('merger', 0.3733293414115906)]"
38,joint_ventures,0.25962538,"[('joint_venture', 0.8551133871078491), ('cooperation', 0.4650686979293823), ('diversification', 0.39759448170661926)]"
39,link,0.25393063,"[('influence', 0.39114776253700256), ('interlocking', 0.3315923810005188), ('dependence', 0.3230007290840149)]"
40,linkages,0.285138,"[('interdependence', 0.47548365592956543), ('influence', 0.4365663528442383), ('external', 0.4085540771484375)]"
41,merge,0.23450628,"[('merge', 1.0), ('merged', 0.5718948245048523), ('merger', 0.5048785209655762)]"
42,merged,0.19623412,"[('merged', 0.9999997615814209), ('merge', 0.5718948245048523), ('merger', 0.5354484915733337)]"
43,merger,0.2804655,"[('merger', 1.0), ('merged', 0.5354484915733337), ('merge', 0.5048785209655762)]"
44,mergers,0.26666617,"[('merger', 0.7933533191680908), ('diversification', 0.5097752809524536), ('resource_dependence', 0.460732638835907)]"
45,networking,0.23533033,"[('cooperation', 0.4330019950866699), ('influence', 0.3599793612957001), ('interdependence', 0.34570565819740295)]"
46,resource_dependence,0.3081637,"[('resource_dependence', 0.9999998807907104), ('external', 0.47198960185050964), ('interlocking', 0.4304240942001343)]"
47,resource_dependencies,0.2579134,"[('resource_dependence', 0.5642200708389282), ('external', 0.40756773948669434), ('director_interlocks', 0.38066819310188293)]"
48,vertical,0.28546602,"[('vertical', 1.0), ('horizontal', 0.8164341449737549), ('diversification', 0.3853456974029541)]"
49,vertically_integrated,0.24845096,"[('vertical', 0.49230778217315674), ('horizontal', 0.4248111844062805), ('diversification', 0.3777075409889221)]"
