,term,cosine_sim_with_core, closest_terms_from_core
0,ceremonial,0.20833935,"[('ceremonial', 0.9999999403953552), ('ritual', 0.5425205230712891), ('rationalized', 0.26984933018684387)]"
1,coercion,0.2372846,"[('coercion', 1.0), ('coercive', 0.7077860236167908), ('normative', 0.36901843547821045)]"
2,coercive,0.2792185,"[('coercive', 0.9999998807907104), ('coercion', 0.7077860236167908), ('conformity', 0.45754867792129517)]"
3,conform,0.30588034,"[('conform', 1.0), ('conformity', 0.5379632711410522), ('norms', 0.510109007358551)]"
4,conformity,0.3421717,"[('conformity', 0.9999998807907104), ('norms', 0.5670039653778076), ('conform', 0.5379632711410522)]"
5,cultural,0.26963294,"[('cultural', 1.0), ('institutional', 0.5004578828811646), ('norms', 0.42476487159729004)]"
6,decoupled,0.26572704,"[('decoupled', 1.000000238418579), ('loosely_coupled', 0.45346713066101074), ('isomorphic', 0.4236235022544861)]"
7,diffuse,0.2882748,"[('diffuse', 1.0), ('diffusion', 0.4586656093597412), ('isomorphic', 0.35634517669677734)]"
8,diffusion,0.29951158,"[('diffusion', 0.9999998211860657), ('imitation', 0.5766730308532715), ('innovation', 0.5741033554077148)]"
9,imitate,0.26807964,"[('imitate', 0.9999999403953552), ('imitation', 0.607554018497467), ('mimetic', 0.4602776765823364)]"
10,imitation,0.293677,"[('imitation', 1.0), ('imitate', 0.607554018497467), ('diffusion', 0.5766730308532715)]"
11,innovation,0.26995304,"[('innovation', 1.0000001192092896), ('diffusion', 0.5741033554077148), ('imitation', 0.5390340089797974)]"
12,institutional,0.36645645,"[('institutional', 1.0), ('institutionalization', 0.5728764533996582), ('organizational_field', 0.5380913615226746)]"
13,institutionalize,0.26456568,"[('institutionalize', 1.0), ('rationalize', 0.4714275300502777), ('institutionalization', 0.40891095995903015)]"
14,institutionalization,0.36232188,"[('institutionalization', 0.9999998211860657), ('institutional', 0.5728764533996582), ('diffusion', 0.4965832233428955)]"
15,isomorphic,0.32715133,"[('isomorphic', 0.9999998807907104), ('organizational_field', 0.48465394973754883), ('mimetic', 0.4449153542518616)]"
16,legitimacy,0.33509377,"[('legitimacy', 1.0), ('legitimate', 0.5918924808502197), ('institutional', 0.4985295534133911)]"
17,legitimate,0.34292692,"[('legitimate', 0.9999998807907104), ('legitimacy', 0.5918924808502197), ('normative', 0.4687138497829437)]"
18,loosely_coupled,0.24653114,"[('loosely_coupled', 1.0), ('decoupled', 0.45346713066101074), ('isomorphic', 0.3616539537906647)]"
19,mimetic,0.289674,"[('mimetic', 1.0), ('imitation', 0.5589090585708618), ('imitate', 0.4602776765823364)]"
20,norm,0.2682666,"[('norm', 1.0), ('norms', 0.6725383996963501), ('normative', 0.5278701782226562)]"
21,normative,0.35364088,"[('normative', 0.9999999403953552), ('norms', 0.6282988786697388), ('norm', 0.5278701782226562)]"
22,norms,0.36154506,"[('norms', 1.0), ('norm', 0.6725383996963501), ('normative', 0.6282988786697388)]"
23,organizational_field,0.32865244,"[('organizational_field', 1.0000001192092896), ('institutional', 0.5380913615226746), ('isomorphic', 0.48465394973754883)]"
24,profession,0.24105395,"[('profession', 0.9999998807907104), ('professional', 0.6883775591850281), ('legitimate', 0.368979275226593)]"
25,professional,0.26296872,"[('professional', 1.0), ('profession', 0.6883775591850281), ('organizational_field', 0.36208176612854004)]"
26,rationalize,0.23903224,"[('rationalize', 1.0), ('institutionalize', 0.4714275300502777), ('rationalized', 0.4303431510925293)]"
27,rationalized,0.3028335,"[('rationalized', 1.0000001192092896), ('rationalize', 0.4303431510925293), ('decoupled', 0.38199400901794434)]"
28,ritual,0.2143215,"[('ritual', 0.9999999403953552), ('ceremonial', 0.5425205230712891), ('decoupled', 0.2764829993247986)]"
29,socially_constructed,0.2648098,"[('socially_constructed', 1.0), ('taken_granted', 0.5214648246765137), ('norms', 0.37309545278549194)]"
30,taken_granted,0.3328058,"[('taken_granted', 0.9999998807907104), ('socially_constructed', 0.5214648246765137), ('legitimate', 0.4517948031425476)]"
0,institutionalized,0.37180388,"[('institutionalization', 0.6548424959182739), ('taken_granted', 0.5842287540435791), ('legitimate', 0.5190799236297607)]"
1,rowan,0.3666443,"[('institutional', 0.5874620676040649), ('organizational_field', 0.5126805305480957), ('legitimacy', 0.5044448375701904)]"
2,legitimated,0.32120335,"[('legitimate', 0.6227251291275024), ('rationalized', 0.5282578468322754), ('legitimacy', 0.49536067247390747)]"
3,practices,0.31395605,"[('norms', 0.49078866839408875), ('institutional', 0.4697332978248596), ('cultural', 0.4367420971393585)]"
4,legitimized,0.30584258,"[('legitimate', 0.6163495779037476), ('rationalize', 0.48922213912010193), ('legitimacy', 0.47729000449180603)]"
5,organizations,0.30578104,"[('institutional', 0.5140634775161743), ('organizational_field', 0.4896644651889801), ('innovation', 0.47316575050354004)]"
6,structures,0.30469564,"[('institutional', 0.5432769060134888), ('loosely_coupled', 0.45410585403442383), ('isomorphic', 0.4295976758003235)]"
7,legitimating,0.30455342,"[('legitimate', 0.580224871635437), ('legitimacy', 0.527096152305603), ('institutionalization', 0.39992570877075195)]"
8,legitimize,0.30361563,"[('rationalize', 0.6138526797294617), ('legitimate', 0.611570417881012), ('institutionalize', 0.521896481513977)]"
9,organizational_fields,0.30325603,"[('organizational_field', 0.6184844374656677), ('institutional', 0.5292000770568848), ('institutionalization', 0.4726726710796356)]"
10,institutions,0.29882458,"[('institutional', 0.6929017305374146), ('institutionalization', 0.4760909080505371), ('cultural', 0.420040488243103)]"
11,institutionalized_rules,0.29861805,"[('norms', 0.4664771258831024), ('legitimate', 0.40942925214767456), ('organizational_field', 0.4090193510055542)]"
12,embedded,0.29771072,"[('institutional', 0.4626626968383789), ('norms', 0.4473080039024353), ('taken_granted', 0.43925726413726807)]"
13,institutional_pressures,0.29721612,"[('institutional', 0.5183837413787842), ('organizational_field', 0.5008789896965027), ('isomorphic', 0.45907944440841675)]"
14,organizational_forms,0.29173943,"[('institutional', 0.5345610976219177), ('institutionalization', 0.49263888597488403), ('organizational_field', 0.435126394033432)]"
15,adopt,0.2908012,"[('imitate', 0.5090302228927612), ('conform', 0.503048837184906), ('diffusion', 0.4216364026069641)]"
16,symbolic,0.29023442,"[('ritual', 0.514141321182251), ('cultural', 0.4303598999977112), ('institutional', 0.4288613200187683)]"
17,logic,0.2901966,"[('institutional', 0.425275593996048), ('rationalized', 0.3947727680206299), ('organizational_field', 0.3611205220222473)]"
18,normative_pressures,0.28952432,"[('norms', 0.46503040194511414), ('institutional', 0.4234022796154022), ('normative', 0.4134381115436554)]"
19,societal,0.2872015,"[('institutional', 0.5671129822731018), ('normative', 0.4794405698776245), ('cultural', 0.45978838205337524)]"
20,institutional_rules,0.28698215,"[('norms', 0.48475727438926697), ('institutional', 0.43243134021759033), ('conform', 0.3803098797798157)]"
21,institutional_environments,0.28586555,"[('institutional', 0.598918616771698), ('organizational_field', 0.5033807754516602), ('institutionalization', 0.4041617512702942)]"
22,coercive_mimetic,0.28532094,"[('normative', 0.4545131027698517), ('institutionalization', 0.4470793604850769), ('organizational_field', 0.4334523677825928)]"
23,formal,0.28488502,"[('institutionalization', 0.4537395238876343), ('institutional', 0.44237014651298523), ('professional', 0.4337109327316284)]"
24,actors,0.28454992,"[('institutional', 0.44195556640625), ('organizational_field', 0.42140448093414307), ('isomorphic', 0.39314472675323486)]"
25,embody,0.2844435,"[('taken_granted', 0.44408804178237915), ('conform', 0.4404858946800232), ('norms', 0.3983725309371948)]"
26,organizational,0.28421187,"[('institutional', 0.5431898832321167), ('innovation', 0.4836346209049225), ('professional', 0.43853113055229187)]"
