,term,cosine_sim_with_core, closest_terms_from_core
0,accountability,0.1428579,"[('accountability', 1.0), ('legitimacy', 0.34071749448776245), ('organizational_form', 0.25618812441825867)]"
1,carrying_capacity,0.22150852,"[('carrying_capacity', 0.9999999403953552), ('ecological', 0.3867432177066803), ('survival', 0.32338762283325195)]"
2,chance_survival,0.13787161,"[('chance_survival', 1.0), ('survival', 0.31660932302474976), ('organizational_form', 0.2402864396572113)]"
3,competition,0.20754527,"[('competition', 1.0), ('niche', 0.3234180808067322), ('survival', 0.3169482350349426)]"
4,death_rate,0.17303175,"[('death_rate', 1.0), ('population', 0.47248369455337524), ('populations', 0.33628812432289124)]"
5,density,0.15552014,"[('density', 1.0), ('population', 0.38881200551986694), ('populations', 0.318893700838089)]"
6,ecological,0.24811177,"[('ecological', 1.0), ('ecology', 0.5304547548294067), ('evolution', 0.4002000093460083)]"
7,ecology,0.23782226,"[('ecology', 0.9999999403953552), ('ecological', 0.5304547548294067), ('evolution', 0.40365591645240784)]"
8,evolution,0.2736183,"[('evolution', 1.0), ('evolutionary', 0.7414820194244385), ('natural_selection', 0.5854550004005432)]"
9,evolutionary,0.24557178,"[('evolutionary', 0.9999999403953552), ('evolution', 0.7414820194244385), ('natural_selection', 0.5506810545921326)]"
10,failure_rate,0.113699414,"[('failure_rate', 0.9999999403953552), ('death_rate', 0.20997516810894012), ('population', 0.17040657997131348)]"
11,fitness,0.20040049,"[('fitness', 0.9999999403953552), ('natural_selection', 0.43950849771499634), ('survival', 0.33765697479248047)]"
12,generalist,0.16953371,"[('generalist', 1.0), ('specialist', 0.4346293807029724), ('organizational_form', 0.2749372720718384)]"
13,inertia,0.16096126,"[('inertia', 1.0), ('evolutionary', 0.2564401924610138), ('structural_inertia', 0.2559763193130493)]"
14,inertial,0.12019242,"[('inertial', 0.9999996423721313), ('inertia', 0.2510661780834198), ('structural_inertia', 0.19486196339130402)]"
15,legitimacy,0.17528674,"[('legitimacy', 1.0000001192092896), ('legitimate', 0.5667808651924133), ('accountability', 0.34071749448776245)]"
16,legitimate,0.15316388,"[('legitimate', 1.0), ('legitimacy', 0.5667808651924133), ('accountability', 0.2552764117717743)]"
17,natural_selection,0.2339475,"[('natural_selection', 1.0), ('evolution', 0.5854550004005432), ('evolutionary', 0.5506810545921326)]"
18,niche,0.19736247,"[('niche', 0.9999999403953552), ('competition', 0.3234180808067322), ('ecology', 0.29346218705177307)]"
19,organizational_form,0.20751795,"[('organizational_form', 1.0), ('evolution', 0.33908772468566895), ('niche', 0.27996593713760376)]"
20,population,0.22463033,"[('population', 0.9999998211860657), ('populations', 0.6759159564971924), ('death_rate', 0.47248369455337524)]"
21,populations,0.23127535,"[('populations', 0.9999998807907104), ('population', 0.6759159564971924), ('ecological', 0.3887907564640045)]"
22,reliability,0.12910618,"[('reliability', 1.000000238418579), ('selection', 0.23903164267539978), ('populations', 0.20355172455310822)]"
23,resistance_change,0.14934424,"[('resistance_change', 0.9999999403953552), ('inertia', 0.2436240166425705), ('ecological', 0.21197912096977234)]"
24,selection,0.20356776,"[('selection', 1.0), ('natural_selection', 0.3911701440811157), ('evolution', 0.33760005235671997)]"
25,specialism,0.14206162,"[('specialism', 0.9999997019767761), ('specialist', 0.2549000084400177), ('generalist', 0.22778195142745972)]"
26,specialist,0.15204138,"[('specialist', 1.0), ('generalist', 0.4346293807029724), ('specialism', 0.2549000084400177)]"
27,structural_inertia,0.18294665,"[('structural_inertia', 0.9999999403953552), ('carrying_capacity', 0.31728124618530273), ('survival', 0.27716270089149475)]"
28,survival,0.25391304,"[('survival', 0.9999998807907104), ('evolution', 0.38052108883857727), ('natural_selection', 0.3772768974304199)]"
0,environment,0.24101174,"[('ecological', 0.46623772382736206), ('ecology', 0.4466722309589386), ('survival', 0.41764119267463684)]"
1,organization,0.23615015,"[('organizational_form', 0.38640350103378296), ('evolution', 0.3669881820678711), ('resistance_change', 0.3486548662185669)]"
2,adaptation,0.23009548,"[('survival', 0.48031526803970337), ('evolution', 0.4757506847381592), ('evolutionary', 0.40588706731796265)]"
3,growth,0.22522627,"[('population', 0.5096451640129089), ('evolution', 0.38457703590393066), ('survival', 0.3830469846725464)]"
4,development,0.21645668,"[('evolution', 0.461136132478714), ('evolutionary', 0.3547595739364624), ('selection', 0.35289159417152405)]"
5,environmental,0.21517293,"[('ecological', 0.5219351053237915), ('ecology', 0.4509914517402649), ('carrying_capacity', 0.3438679873943329)]"
6,human,0.21370043,"[('evolution', 0.4363487958908081), ('evolutionary', 0.4166294038295746), ('ecology', 0.3976176381111145)]"
7,human_ecology,0.21293429,"[('ecology', 0.5677613019943237), ('ecological', 0.561920166015625), ('carrying_capacity', 0.34948185086250305)]"
8,environments,0.21155962,"[('ecological', 0.4224584996700287), ('populations', 0.42202258110046387), ('ecology', 0.39463362097740173)]"
9,species,0.2111008,"[('natural_selection', 0.5467721819877625), ('evolution', 0.5144667625427246), ('evolutionary', 0.4739070534706116)]"
10,adaptive,0.21049048,"[('evolutionary', 0.4403058588504791), ('evolution', 0.3921636939048767), ('survival', 0.3770524263381958)]"
11,biology,0.20995766,"[('evolution', 0.4921897351741791), ('natural_selection', 0.48015379905700684), ('evolutionary', 0.4453888237476349)]"
12,emergence,0.20817898,"[('evolution', 0.5605780482292175), ('evolutionary', 0.38130268454551697), ('competition', 0.3274906873703003)]"
13,organizational,0.20794836,"[('ecological', 0.38993340730667114), ('resistance_change', 0.33301955461502075), ('accountability', 0.33028051257133484)]"
14,survive,0.20789109,"[('survival', 0.6057037711143494), ('niche', 0.34686020016670227), ('evolution', 0.3180299401283264)]"
15,predator_prey,0.20642915,"[('natural_selection', 0.4103271961212158), ('evolution', 0.3462352752685547), ('ecological', 0.32794272899627686)]"
16,society,0.20590013,"[('evolution', 0.4166991710662842), ('evolutionary', 0.33415061235427856), ('legitimacy', 0.33231866359710693)]"
17,ecosystem,0.20585455,"[('ecological', 0.4745718836784363), ('carrying_capacity', 0.4699931740760803), ('ecology', 0.40624141693115234)]"
18,structure,0.20524639,"[('evolution', 0.3923752009868622), ('ecology', 0.3403165340423584), ('organizational_form', 0.3291347324848175)]"
19,technology,0.2049705,"[('evolution', 0.31496453285217285), ('organizational_form', 0.30561405420303345), ('ecological', 0.3016257882118225)]"
20,its,0.20339267,"[('survival', 0.32518354058265686), ('population', 0.29182514548301697), ('organizational_form', 0.270230770111084)]"
21,technological,0.2030201,"[('evolutionary', 0.37167397141456604), ('evolution', 0.3593705892562866), ('ecological', 0.31815582513809204)]"
22,culture,0.2027885,"[('evolution', 0.40076276659965515), ('evolutionary', 0.3362313508987427), ('survival', 0.3091444969177246)]"
23,nature,0.20195574,"[('evolution', 0.4151107370853424), ('ecological', 0.3144930899143219), ('ecology', 0.29864224791526794)]"
24,societal,0.20161502,"[('ecological', 0.39108678698539734), ('evolution', 0.38784709572792053), ('evolutionary', 0.37773454189300537)]"
25,diversity,0.20159513,"[('evolution', 0.3371921181678772), ('populations', 0.3226638436317444), ('ecological', 0.3004842698574066)]"
26,dynamic,0.2014413,"[('evolution', 0.41859686374664307), ('inertia', 0.3812476396560669), ('evolutionary', 0.3808203637599945)]"
27,science,0.20129535,"[('ecology', 0.4149233102798462), ('evolution', 0.39475178718566895), ('evolutionary', 0.3286333680152893)]"
28,economic,0.2009055,"[('competition', 0.38233205676078796), ('population', 0.3683178424835205), ('ecological', 0.3391076326370239)]"
29,evolving,0.20069423,"[('evolution', 0.5517117977142334), ('evolutionary', 0.4458717107772827), ('natural_selection', 0.28616827726364136)]"
30,modern,0.20038134,"[('evolution', 0.4584505259990692), ('evolutionary', 0.32348114252090454), ('legitimacy', 0.29060715436935425)]"
31,biological,0.19997336,"[('natural_selection', 0.49202197790145874), ('evolution', 0.46940088272094727), ('evolutionary', 0.4477832317352295)]"
32,cultural,0.19958363,"[('evolution', 0.39050304889678955), ('ecological', 0.3770234286785126), ('evolutionary', 0.34009331464767456)]"
33,expansion,0.19957402,"[('competition', 0.3856552839279175), ('evolution', 0.36915379762649536), ('population', 0.31624314188957214)]"
34,social,0.19903481,"[('ecology', 0.3868262767791748), ('evolution', 0.36015772819519043), ('ecological', 0.3560011088848114)]"
35,evolutionary_theory,0.19889349,"[('evolutionary', 0.5529755353927612), ('natural_selection', 0.5266080498695374), ('evolution', 0.4872547686100006)]"
36,scientific,0.19876295,"[('evolution', 0.40215975046157837), ('evolutionary', 0.37286481261253357), ('legitimate', 0.3246574103832245)]"
37,differentiation,0.198712,"[('evolution', 0.38676518201828003), ('ecological', 0.35532891750335693), ('competition', 0.33715707063674927)]"
38,organizations,0.19836648,"[('organizational_form', 0.3326099216938019), ('populations', 0.3051469624042511), ('competition', 0.29616686701774597)]"
39,history,0.19831578,"[('evolution', 0.5503350496292114), ('evolutionary', 0.4202558994293213), ('ecology', 0.3269082307815552)]"
40,systems,0.19799687,"[('evolution', 0.3750187158584595), ('ecological', 0.32622116804122925), ('populations', 0.31853926181793213)]"
41,perspective,0.19623683,"[('evolutionary', 0.40154922008514404), ('evolution', 0.3969610035419464), ('ecological', 0.3499133586883545)]"
42,processes,0.1958016,"[('evolution', 0.40350794792175293), ('selection', 0.36619916558265686), ('ecological', 0.31664523482322693)]"
43,context,0.19566211,"[('ecological', 0.3482592701911926), ('ecology', 0.3126080632209778), ('evolution', 0.3088006377220154)]"
44,long_run,0.195292,"[('survival', 0.38254690170288086), ('competition', 0.3117642402648926), ('evolution', 0.29401159286499023)]"
45,thus,0.19445911,"[('population', 0.3404949903488159), ('selection', 0.3096136450767517), ('competition', 0.27575477957725525)]"
46,effectiveness,0.19410457,"[('accountability', 0.42939749360084534), ('reliability', 0.36671024560928345), ('legitimacy', 0.34790027141571045)]"
47,developing,0.1933446,"[('evolution', 0.3458273410797119), ('specialist', 0.294696569442749), ('evolutionary', 0.294532835483551)]"
48,political,0.19333093,"[('legitimacy', 0.43566250801086426), ('competition', 0.3614349365234375), ('ecological', 0.31690239906311035)]"
49,general,0.19321212,"[('specialist', 0.3479575514793396), ('population', 0.33736541867256165), ('selection', 0.31189364194869995)]"
50,emerging,0.19312337,"[('evolution', 0.4250525236129761), ('evolutionary', 0.3550269603729248), ('ecology', 0.32810086011886597)]"
51,view,0.19250554,"[('evolution', 0.39194455742836), ('evolutionary', 0.3813154399394989), ('legitimate', 0.30104368925094604)]"
52,organizational_forms,0.19247499,"[('organizational_form', 0.48115089535713196), ('evolution', 0.40300458669662476), ('natural_selection', 0.35601097345352173)]"
53,complex,0.19182116,"[('evolution', 0.3711909055709839), ('ecological', 0.32900458574295044), ('evolutionary', 0.29317420721054077)]"
54,functional,0.19141737,"[('evolution', 0.2991800606250763), ('evolutionary', 0.2980778217315674), ('generalist', 0.29430854320526123)]"
55,habitat,0.19121672,"[('carrying_capacity', 0.4848594665527344), ('niche', 0.3777781128883362), ('survival', 0.3431589901447296)]"
56,concept,0.19120948,"[('evolution', 0.39488938450813293), ('evolutionary', 0.32480040192604065), ('legitimacy', 0.2848145663738251)]"
57,population_ecology,0.19104697,"[('ecology', 0.3404273986816406), ('ecological', 0.3401449918746948), ('populations', 0.31923192739486694)]"
58,itself,0.19084342,"[('legitimate', 0.3379138112068176), ('evolution', 0.3040585517883301), ('legitimacy', 0.300094872713089)]"
59,advanced,0.19032316,"[('evolution', 0.3312940001487732), ('evolutionary', 0.31684985756874084), ('generalist', 0.2914217412471771)]"
60,consequence,0.19012766,"[('legitimate', 0.3050186038017273), ('competition', 0.2999735474586487), ('survival', 0.265645295381546)]"
61,civilization,0.18954661,"[('evolutionary', 0.47089672088623047), ('evolution', 0.452894002199173), ('survival', 0.33779042959213257)]"
62,resources,0.18940161,"[('competition', 0.30856820940971375), ('population', 0.3002130389213562), ('carrying_capacity', 0.2968958616256714)]"
63,urbanization,0.18935473,"[('population', 0.4863783121109009), ('ecological', 0.4278351664543152), ('density', 0.3666968047618866)]"
64,historical,0.18916526,"[('evolution', 0.49848487973213196), ('evolutionary', 0.4487687349319458), ('ecological', 0.31986165046691895)]"
65,approach,0.18905059,"[('evolutionary', 0.38125693798065186), ('ecological', 0.36628013849258423), ('evolution', 0.3278321325778961)]"
66,population_organizations,0.18896495,"[('structural_inertia', 0.3768240213394165), ('carrying_capacity', 0.3506861925125122), ('populations', 0.3430384397506714)]"
67,structural,0.18877946,"[('ecological', 0.4551791548728943), ('evolution', 0.3390057682991028), ('resistance_change', 0.33077555894851685)]"
68,organizational_change,0.1887533,"[('resistance_change', 0.37331461906433105), ('ecological', 0.3348994851112366), ('natural_selection', 0.3187565207481384)]"
69,particular,0.18870373,"[('selection', 0.3870092034339905), ('specialist', 0.33547595143318176), ('legitimate', 0.2956468462944031)]"
70,economy,0.18852821,"[('competition', 0.4035879671573639), ('evolution', 0.34587281942367554), ('population', 0.33366158604621887)]"
71,indeed,0.18839504,"[('legitimate', 0.3308226764202118), ('legitimacy', 0.30992454290390015), ('evolutionary', 0.3035532832145691)]"
72,broader,0.1880271,"[('legitimate', 0.3176489472389221), ('ecology', 0.31279632449150085), ('ecological', 0.3023715019226074)]"
73,critical,0.18687539,"[('legitimacy', 0.3297455906867981), ('ecology', 0.30222129821777344), ('evolution', 0.2897772490978241)]"
74,natural,0.18670307,"[('ecology', 0.38448548316955566), ('evolution', 0.3839564025402069), ('evolutionary', 0.33539026975631714)]"
75,key,0.186639,"[('selection', 0.31280550360679626), ('ecological', 0.2853297293186188), ('legitimacy', 0.26602569222450256)]"
76,viability,0.18651043,"[('survival', 0.4456872344017029), ('legitimacy', 0.3143056035041809), ('evolution', 0.2727784514427185)]"
77,changing,0.18639052,"[('evolution', 0.38399821519851685), ('survival', 0.3263886868953705), ('population', 0.3091890811920166)]"
78,dynamics,0.18628559,"[('ecology', 0.40675145387649536), ('evolution', 0.3938756287097931), ('ecological', 0.3233664929866791)]"
79,within,0.18604551,"[('selection', 0.28780555725097656), ('legitimate', 0.285106897354126), ('ecology', 0.2752915620803833)]"
80,also,0.18580784,"[('selection', 0.3280138373374939), ('competition', 0.3014182150363922), ('population', 0.28460222482681274)]"
81,structures,0.18575476,"[('evolution', 0.4167606234550476), ('organizational_form', 0.33908724784851074), ('ecological', 0.3114657998085022)]"
82,fact,0.18558429,"[('population', 0.28522512316703796), ('evolution', 0.28070884943008423), ('survival', 0.24946849048137665)]"
83,urban,0.18558091,"[('population', 0.49634483456611633), ('ecological', 0.44771066308021545), ('ecology', 0.41580528020858765)]"
84,contemporary,0.18558027,"[('evolution', 0.44347959756851196), ('evolutionary', 0.36615705490112305), ('ecology', 0.3538994789123535)]"
85,strategy,0.18544985,"[('selection', 0.31681913137435913), ('survival', 0.3148941695690155), ('organizational_form', 0.27967584133148193)]"
86,theory,0.18542142,"[('evolution', 0.45024532079696655), ('evolutionary', 0.3637702167034149), ('ecology', 0.33213651180267334)]"
87,genetic,0.18537045,"[('natural_selection', 0.5249779224395752), ('evolution', 0.4645996689796448), ('evolutionary', 0.41816407442092896)]"
88,ultimately,0.18509115,"[('legitimacy', 0.36326515674591064), ('legitimate', 0.3441654443740845), ('survival', 0.3156900405883789)]"
89,process,0.18507832,"[('selection', 0.4245397448539734), ('evolution', 0.3529422879219055), ('evolutionary', 0.29388993978500366)]"
90,new,0.18496005,"[('selection', 0.3201865255832672), ('evolution', 0.3188241720199585), ('ecology', 0.31303954124450684)]"
91,behavior,0.18491818,"[('evolution', 0.3493324816226959), ('selection', 0.2957777678966522), ('natural_selection', 0.2950561046600342)]"
92,system,0.18471989,"[('selection', 0.3150063753128052), ('evolution', 0.29698461294174194), ('organizational_form', 0.28269508481025696)]"
93,application,0.18455426,"[('selection', 0.3643648028373718), ('evolution', 0.33368802070617676), ('ecological', 0.268765389919281)]"
94,existence,0.18369679,"[('survival', 0.4356180727481842), ('evolution', 0.405318945646286), ('legitimacy', 0.3320018947124481)]"
95,leadership,0.183525,"[('legitimacy', 0.4014014005661011), ('resistance_change', 0.3031615614891052), ('accountability', 0.28021013736724854)]"
96,extinction,0.18347704,"[('survival', 0.4140446186065674), ('evolution', 0.4049222469329834), ('natural_selection', 0.37572693824768066)]"
97,yet,0.18345323,"[('legitimate', 0.28976911306381226), ('evolution', 0.27849262952804565), ('niche', 0.2601751387119293)]"
98,progress,0.18338494,"[('evolution', 0.4846387505531311), ('evolutionary', 0.4091629385948181), ('natural_selection', 0.27109619975090027)]"
